,R2,RMSE,nRMSE,MAE,Bias
Anth,0.46964526176452637,0.2931889295578003,0.1352632776733621,0.18394407629966736,-0.06820773333311081
B,0.3669307827949524,0.0002137099509127438,0.09767168200146889,0.00012857229739893228,-2.6183008230873384e-05
C,0.7468224763870239,2.2264726161956787,0.08066981503298905,1.2810158729553223,-0.13664017617702484
Ca,0.2382904291152954,0.09912866353988647,0.10038793338130891,0.05519085377454758,-0.01887897215783596
Car,0.5769608020782471,1.6510474681854248,0.10036891436381802,1.1656187772750854,-0.13025718927383423
Cel,0.6971954107284546,0.9745983481407166,0.09625630965330921,0.6019582748413086,-0.09903975576162338
Chl,0.6359214782714844,8.359015464782715,0.1297058083278906,6.024266719818115,-0.5124788284301758
Cu,0.5606919527053833,2.1943385945633054e-05,0.09014146036245889,1.534909097244963e-05,-1.8909394157162751e-06
EWT,0.6329951286315918,5.472198486328125,0.10129710063720607,3.495668411254883,-0.623112142086029
Fiber,0.7305213809013367,2.2361419200897217,0.10313736865380925,1.4142359495162964,-0.10097131133079529
LAI,0.6118115186691284,1.006974697113037,0.13238054915593553,0.6858533620834351,-0.011351848021149635
LMA,0.7682604789733887,32.97736740112305,0.06553378105555124,18.183977127075195,-2.105480432510376
Lignin,0.69889235496521,1.2623592615127563,0.10349406121654188,0.7907845973968506,-0.06374985724687576
Mg,0.2187182903289795,0.015391330234706402,0.1089357617938413,0.010037950240075588,-0.0020579553674906492
Mn,0.3881857395172119,0.0019415892893448472,0.13496880995983693,0.001349872793070972,-0.00022420195455197245
N,0.6429388523101807,0.05532916635274887,0.07628687498664545,0.038269296288490295,-0.0032116265501827
NSC,0.6616947650909424,1.687299370765686,0.09530796593209043,1.0293058156967163,-0.05019807070493698
P,0.6243537664413452,0.006550043821334839,0.09645926941373749,0.004462569020688534,-0.0009469927754253149
K,0.43249768018722534,0.042507022619247437,0.12258441790495236,0.030790507793426514,-0.005768879316747189
S,0.5161405801773071,0.006182020530104637,0.14140599942533458,0.004520011600106955,-0.0008114675292745233
