,R2_mean,R2_std,RMSE_mean,RMSE_std,nRMSE_mean,nRMSE_std,MAE_mean,MAE_std,Bias_mean,Bias_std
Anth,0.5344031691551209,0.05077779638251862,0.2765515804290771,0.03256671193266202,0.13235841608114218,0.008698438455584512,0.18475490808486938,0.013864877401308321,-0.039962207153439525,0.03543677051697645
B,0.3824725031852722,0.09462051933235976,0.00020483907137531788,2.9550277369892147e-05,0.09959756674474421,0.007649380998274378,0.00012389273761073127,1.0598009085093972e-05,-1.9564452122722288e-05,9.787852547983266e-06
C,0.7240437984466552,0.053540838031996225,2.320984935760498,0.21441766669030138,0.07792796047221212,0.013313047727624198,1.2733222484588622,0.06624683263754563,-0.1744145020842552,0.0632936700400888
Ca,0.2537863254547119,0.0401795911400763,0.08772792220115662,0.006825205182839764,0.1045170544844709,0.004643643642057619,0.05147319808602333,0.0021331791550948513,-0.01670163180679083,0.0050354129194301435
Car,0.54561767578125,0.071284096679322,1.8626709938049317,0.26406508896687153,0.09551526013466713,0.017095394124557566,1.1852713108062745,0.0470755335787441,-0.07539202608168125,0.10877744418788499
Cel,0.6572008013725281,0.060225404200748414,1.091585910320282,0.11022590651916538,0.10120662317126121,0.01620879353453411,0.6711033582687378,0.046509347020236694,-0.1563047394156456,0.029908972689316585
Chl,0.5960792183876038,0.060007259427863766,9.21702995300293,1.3403277910298796,0.10520070895821934,0.028039806942293178,6.039916229248047,0.20585398769279342,-0.05621625632047653,0.7112849233202644
Cu,0.5092602729797363,0.06669604029363799,2.3377546312985942e-05,1.2734868613158218e-06,0.09914887150011809,0.013607862497404961,1.626586636120919e-05,6.4437853002915e-07,-2.138815557373164e-06,9.062372783213439e-07
EWT,0.5950894236564637,0.06470534988953197,5.885111618041992,0.8159911918530192,0.09491074272020117,0.011050131198484808,3.6736019611358643,0.4078838346638845,-0.979891324043274,0.3797940245073983
Fiber,0.6993206739425659,0.06831468279155713,2.4915677547454833,0.32510243435899844,0.09781657749717422,0.013843845423280989,1.5233120441436767,0.1334033700957988,-0.3044925957918167,0.12366597808845789
LAI,0.6701380610466003,0.05687469973026537,0.9394013285636902,0.08503943665567089,0.12921565037882923,0.01035582589091748,0.6575595140457153,0.049800293317730226,-0.01090755881741643,0.018648689137760036
LMA,0.7559609413146973,0.0326420147181759,33.557101821899415,2.2406408060615877,0.062285096175731636,0.00915670265923828,17.989645385742186,0.6952831840328945,-1.5084765791893004,1.224674873365039
Lignin,0.6744221806526184,0.07922351296972,1.3654607772827148,0.19866118584386502,0.10299093628573781,0.010110030992183446,0.8316080689430236,0.08885365497978084,-0.17739168256521226,0.08032282420621312
Mg,0.2685122609138489,0.034398424668739755,0.01378048975020647,0.0009273965944632398,0.12319230589942823,0.009437618874141927,0.009175114333629608,0.0005720707066088867,-0.0018762322142720222,0.0007817910252223074
Mn,0.3598933219909668,0.04996452363994596,0.0018445443594828248,7.471962836973808e-05,0.13676007881071744,0.014276115681978343,0.0012623397633433342,5.794374156175637e-05,-0.00023982151469681412,0.00011591860461305457
N,0.6118210077285766,0.041090042546811444,0.059756606072187426,0.004210251035065578,0.07783518764240381,0.011269550335037341,0.039726445078849794,0.0021183446941012885,-0.00450160182081163,0.0023220859572951704
NSC,0.6338366746902466,0.09083394251823576,1.7014616489410401,0.14646761379257564,0.10008807450646987,0.02588210316202332,0.9935526132583619,0.04692443246608174,-0.1299425795674324,0.06744806640896385
P,0.5620289206504822,0.048769613112270876,0.00621056817471981,0.00035620211130037377,0.0989591771712188,0.006628888781537256,0.004221809282898903,0.0001695265026698628,-0.0007398482703138143,0.0002986126595069385
K,0.3604831099510193,0.03989358685372823,0.050039132684469224,0.0045003344166167384,0.12279845903465914,0.009625812285089883,0.03469086363911629,0.0025912629677895473,-0.00832986468449235,0.0018040040351015904
S,0.41971731185913086,0.07401608532928299,0.006920177023857832,0.0005285065373730385,0.13911538003918844,0.007013098564883796,0.004819273389875889,0.00016904328431163412,-0.0011822786531411112,0.00035059814442310627
