,R2,RMSE,nRMSE,MAE,Bias
Anth,0.35694432258605957,0.32284095883369446,0.14894329852398983,0.2228861004114151,-0.09293380379676819
B,0.35338371992111206,0.00021598442981485277,0.09871118521176414,0.00012467103078961372,-4.350864765001461e-05
C,0.7708860635757446,2.1180226802825928,0.07674044432938851,1.2313926219940186,-0.2623433470726013
Ca,0.2951784133911133,0.09535513818264008,0.09656647146859478,0.052808597683906555,-0.022479930892586708
Car,0.5839176177978516,1.6374156475067139,0.09954022162863689,1.1818779706954956,-0.03351207077503204
Cel,0.7283167839050293,0.9231575131416321,0.09117575010593991,0.5828894376754761,-0.12133379280567169
Chl,0.6597275137901306,8.081110000610352,0.12539358363814349,5.985322952270508,-0.5310707688331604
Cu,0.5859389305114746,2.1303514586179517e-05,0.08751292623704365,1.450628860766301e-05,-3.8814796425867826e-06
EWT,0.6560937166213989,5.2971954345703125,0.09805757966770548,3.238502264022827,-0.908602237701416
Fiber,0.7164991497993469,2.2935824394226074,0.10578669245784778,1.475968360900879,-0.14624015986919403
LAI,0.539307713508606,1.0969901084899902,0.14421430190537612,0.7582581043243408,0.06978868693113327
LMA,0.8037114143371582,30.3503360748291,0.06031325227078358,16.8371524810791,-4.067182540893555
Lignin,0.6718584299087524,1.3178097009658813,0.10804014516444174,0.8273959755897522,-0.10541602224111557
Mg,0.17686927318572998,0.015798168256878853,0.11181525363738053,0.009676109999418259,-0.003426351584494114
Mn,0.3378114700317383,0.00201993971131742,0.14041530849148956,0.0014023341936990619,-0.00028234656201675534
N,0.6681880354881287,0.053337037563323975,0.07354016308162135,0.03630631044507027,-0.0049768430180847645
NSC,0.6639267206192017,1.6817243099212646,0.09499305577551974,1.0373525619506836,-0.2371232509613037
P,0.5816840529441833,0.006912050303071737,0.10179036057951577,0.0047139255329966545,-0.001492285286076367
K,0.3258465528488159,0.046329353004693985,0.13360749401022187,0.03196367621421814,-0.0066496687941253185
S,0.40719103813171387,0.006842711474746466,0.15651847970316451,0.004950282629579306,-0.0010747072519734502
