,R2_mean,R2_std,RMSE_mean,RMSE_std,nRMSE_mean,nRMSE_std,MAE_mean,MAE_std,Bias_mean,Bias_std
Anth,0.4785288691520691,0.09441646176359597,0.293194916844368,0.048373570230681756,0.1394451141303828,0.01156025179893573,0.20134499967098235,0.025634885780531046,-0.04949907539412379,0.035298624405947
B,0.41623268127441404,0.07975854759253131,0.00019929115660488605,2.788656725974036e-05,0.09670634850887791,0.004348763751633503,0.00011958513932768256,8.902888558562885e-06,-2.6071879074152093e-05,1.3588365603075098e-05
C,0.7538040161132813,0.02394433220793152,2.1996862411499025,0.11361052693764653,0.0735519189785085,0.009296231532571439,1.2440866231918335,0.059473334268056594,-0.2873274624347687,0.06302898990029043
Ca,0.23865923881530762,0.04298571464131071,0.08847836405038834,0.004900097575205421,0.1057836807532992,0.00837547130498091,0.05386931747198105,0.0024898352897864367,-0.017479342967271806,0.006160999000399149
Car,0.5212284445762634,0.06562537764280937,1.9149909973144532,0.26991502246314847,0.0984480550240557,0.01908245858765849,1.228233242034912,0.04329533634628886,-0.06162216663360596,0.06552943871467115
Cel,0.6814141035079956,0.036016639911382924,1.0547669768333434,0.08377347163517306,0.09762902934782677,0.013156295642473954,0.6481998443603516,0.03837140947546679,-0.16214999705553054,0.05708464456606485
Chl,0.612396776676178,0.07317438681129428,9.033556175231933,1.5295885349004332,0.10256967718154324,0.027328373439966584,5.941973781585693,0.2535779610562425,-0.058817729353904724,0.43290454756857877
Cu,0.551718246936798,0.03733424644417952,2.2397613429347983e-05,1.1704391074329725e-06,0.09473811166610271,0.010520460515227537,1.5589922259096057e-05,7.590726310495258e-07,-2.528010593039198e-06,1.370966398533532e-06
EWT,0.6241747617721558,0.06477424368560736,5.662578868865967,0.788170195195457,0.09141004237490172,0.0116447505341266,3.5701694965362547,0.46328711628294816,-1.0372053384780884,0.4406157152704825
Fiber,0.7122223734855652,0.028859163064462602,2.4471027851104736,0.17104238060626137,0.0962318409925847,0.010926004000634506,1.5145342588424682,0.10202060848079698,-0.3417229950428009,0.13490320238513032
LAI,0.5685302495956421,0.0555124331525891,1.0766092538833618,0.07375795118986968,0.14819346259858737,0.009760233334074562,0.7575916767120361,0.06185068334302208,-0.012964640557765961,0.0535415877157721
LMA,0.7850164175033569,0.016355449950776087,31.534878540039063,1.2085643210529875,0.05830820239947989,0.006289089091538139,17.23297119140625,0.7801661913690615,-3.1064508676528932,1.0178338154743443
Lignin,0.6885544419288635,0.030722489091301302,1.3404526472091676,0.09497082572714545,0.10153368648364214,0.005891373366990746,0.8403223156929016,0.06059585425675126,-0.22540199607610703,0.0714129307338037
Mg,0.2681094527244568,0.06177439316459327,0.01379886008799076,0.001321895941923429,0.12324532494541403,0.01181866982228643,0.009080005809664726,0.0006398795345280377,-0.0022407421609386803,0.0010489557941391686
Mn,0.3285298585891724,0.08814992584171534,0.0018853743094950914,0.00010941569822085244,0.14024831823108322,0.01928145438819578,0.0012978299288079142,8.586626536334913e-05,-0.00027876241656485943,8.815445685131007e-05
N,0.643881094455719,0.0184583905326919,0.05726653262972832,0.002496455664028442,0.07513588769197718,0.014280205933943087,0.03817659020423889,0.0015216038219128358,-0.004395844927057624,0.0019528764013689716
NSC,0.6583063006401062,0.04716797169801908,1.6562975883483886,0.10887729021170398,0.09629837816584609,0.018411471807371568,0.9978937864303589,0.052970080149806115,-0.19606692641973494,0.06320674791559915
P,0.54343101978302,0.04670652113583135,0.006345837563276291,0.00039581635068989396,0.10126571552645462,0.008981336720860248,0.004405795410275459,0.00018475011613740624,-0.0008964512482634746,0.0005158200116856818
K,0.3153378963470459,0.04030626580762179,0.05169534832239151,0.003635209709866533,0.12696283323703422,0.00832882101172663,0.03668851479887962,0.002764142784636189,-0.009318686090409756,0.003027652821791971
S,0.44271838665008545,0.023665391214729034,0.006793645489960909,0.0003034063225441443,0.13707232850007067,0.010973741533522931,0.004754132963716984,0.0001479214608190675,-0.0011813141987659036,0.0004179971764354703
