,R2,RMSE,nRMSE,MAE,Bias
Anth,0.6772364377975464,0.20328444242477417,0.11494633642207402,0.14637809991836548,0.008306900970637798
B,0.3602990508079529,0.00022288894979283214,0.09873985333538383,0.00012560078175738454,-3.621495488914661e-05
C,0.6540694832801819,2.6147727966308594,0.09389901027859271,1.3555463552474976,-0.2559312880039215
Ca,0.3090015649795532,0.08495748788118362,0.10800501937058316,0.05423485115170479,-0.01937747374176979
Car,0.5322908163070679,1.96073579788208,0.10064013312035539,1.2331205606460571,0.015132058411836624
Cel,0.6152758002281189,1.1814512014389038,0.11460637337431691,0.6999391913414001,-0.17610138654708862
Chl,0.6326290369033813,8.392423629760742,0.09299714070663714,5.613742828369141,0.7520624995231628
Cu,0.4432362914085388,2.427082472422626e-05,0.11891744260371188,1.6147238056873903e-05,-2.6042407625936903e-06
EWT,0.5422206521034241,6.981882572174072,0.08684642942689076,4.119345664978027,-1.498394250869751
Fiber,0.6055422425270081,2.9857418537139893,0.11091443251416376,1.724987506866455,-0.39840012788772583
LAI,0.5554254651069641,1.1115204095840454,0.1523363223840676,0.7893732786178589,0.023532675579190254
LMA,0.7090773582458496,36.85874938964844,0.07351896078978613,18.64651870727539,-2.7780773639678955
Lignin,0.5461032390594482,1.7100894451141357,0.11768120365728413,1.0046894550323486,-0.23702822625637054
Mg,0.32410377264022827,0.013910583220422268,0.13573188217518004,0.009319661185145378,-0.003194198478013277
Mn,0.1747186779975891,0.0019914545118808746,0.171062669358049,0.0014137421967461705,-0.00011202494351891801
N,0.5885492563247681,0.06295016407966614,0.07556239556880472,0.04149838909506798,-0.0032368118409067392
NSC,0.47631293535232544,1.9565248489379883,0.14787735859256643,1.081463098526001,-0.17010252177715302
P,0.5760287046432495,0.006058464292436838,0.10353137274923789,0.004279394168406725,-0.0009102956391870975
K,0.3704792261123657,0.05593602731823921,0.12016516341366083,0.03800971060991287,-0.00775702903047204
S,0.48147809505462646,0.0071363612078130245,0.12607290001006266,0.005079001188278198,-0.0010639308020472527
