,R2_mean,R2_std,RMSE_mean,RMSE_std,nRMSE_mean,nRMSE_std,MAE_mean,MAE_std,Bias_mean,Bias_std
Anth,0.5620364069938659,0.07695975804187119,0.2686424970626831,0.0430388167718062,0.12784569371924812,0.01014909994206817,0.18140627443790436,0.0238833878609665,-0.041046510823071,0.02687091076510666
B,0.4243661165237427,0.06376399422240289,0.00019787745550274848,2.5322557058377016e-05,0.09630473562224891,0.005916583207853239,0.00011836991470772772,7.968699276432437e-06,-2.265983503093594e-05,1.3023600885832648e-05
C,0.7080729126930236,0.032647604903642435,2.3942692279815674,0.13943381544173267,0.08003674840810834,0.010199027956489661,1.2911175966262818,0.043342464211433215,-0.22872436940670013,0.04358372446884884
Ca,0.2603264570236206,0.047886564706509094,0.08726231157779693,0.006030569220135662,0.10403639798258409,0.004833623850477458,0.05182237923145294,0.002685546775045497,-0.018147120624780654,0.004777448885471126
Car,0.5191994428634643,0.06397442996888299,1.916553521156311,0.2507760005628879,0.0985831493521751,0.01838031974573514,1.2105787992477417,0.049981102153007474,-0.04970197901129723,0.034589189622271366
Cel,0.6601211547851562,0.03786088009192401,1.088923406600952,0.0803320233079437,0.10072826296518074,0.012622789927852016,0.6596091151237488,0.033777659968901294,-0.14529710561037062,0.04634601296953737
Chl,0.6103196024894715,0.06299651272373534,9.058529281616211,1.4097051482632068,0.10338948265599306,0.02853530471648886,5.9589111328125,0.296005609583479,0.016851097345352173,0.3850558591376701
Cu,0.5305773496627808,0.05364380761429552,2.2895175061421468e-05,1.382961309350901e-06,0.0969994601065245,0.012469588020396298,1.553477759443922e-05,9.692648760060961e-07,-2.234420037439122e-06,7.598780519265968e-07
EWT,0.6079904556274414,0.07028259636009061,5.777508354187011,0.7782051239362937,0.09325722748339067,0.011405576584785805,3.5754125118255615,0.3722034818524934,-0.8869200110435486,0.3282720930543792
Fiber,0.6772327542304992,0.04371930737536084,2.5898380279541016,0.2306739677123123,0.10147053464768378,0.009564968157060441,1.5424023151397706,0.10561526133074096,-0.280785346031189,0.11654884443838166
LAI,0.6390642642974853,0.07086987762439113,0.9820751547813416,0.10011722887800856,0.13500026540802595,0.011609562588490666,0.6909047126770019,0.06670091561760921,-0.010658317431807517,0.019793184698227183
LMA,0.7474589943885803,0.025635735276609083,34.1629451751709,1.8163667835695874,0.06321036958039775,0.00758110975776432,17.885686111450195,0.6133056407115537,-2.498793053627014,0.30222884810989586
Lignin,0.6506658792495728,0.05652565648951642,1.4183977127075196,0.1500137529299422,0.10716491389679839,0.0066897264735013146,0.8510451316833496,0.08011273784768984,-0.17041853964328765,0.06800687062766857
Mg,0.30108940601348877,0.07251784625196893,0.0134637288749218,0.0012047896056227461,0.1201286952413763,0.008964358870517098,0.00892490204423666,0.0007600078508514245,-0.0023631449788808823,0.0005444990457407629
Mn,0.3434371590614319,0.09227768446598794,0.001863041496835649,9.41184888844738e-05,0.13847869163545884,0.018237077893568012,0.0012815984431654216,8.009372254327762e-05,-0.0002593756900751032,0.00010369997315258449
N,0.6223824977874756,0.024703389007652347,0.058939564228057864,0.0024954546096522755,0.07727146721724476,0.01397819645921745,0.039167876541614535,0.001240084278390874,-0.004466107208281755,0.0009616741299597655
NSC,0.6216071486473084,0.08161859786320205,1.7361006498336793,0.16289185850786134,0.10147122358332528,0.023806091857385126,1.0078021168708802,0.0642555741130219,-0.1781693160533905,0.03288178011177342
P,0.5155860900878906,0.061438444115513406,0.006535299494862557,0.0005048753433765515,0.10443533263230594,0.011441207970526546,0.0045463104732334616,0.0002537218715493041,-0.000939731189282611,0.00027815107141862576
K,0.3004713892936707,0.047436461048927216,0.05220705270767212,0.0031838855965025214,0.12853256999262144,0.01165249514867842,0.036665056645870206,0.002029317185079504,-0.009665146190673112,0.002362870045782575
S,0.4129163384437561,0.03909934148879884,0.006967956759035587,0.00031345881475587856,0.1404780340292504,0.009446279176586025,0.004946199152618647,7.745615616549546e-05,-0.0011994280968792737,0.00040524588169799845
