band_index,wavelength_nm,Cab_imp_mean,Cab_imp_std,Cab_signed_mean,Car_imp_mean,Car_imp_std,Car_signed_mean,Anth_imp_mean,Anth_imp_std,Anth_signed_mean,Cw_imp_mean,Cw_imp_std,Cw_signed_mean,Cm_imp_mean,Cm_imp_std,Cm_signed_mean,LAI_imp_mean,LAI_imp_std,LAI_signed_mean,Cp_imp_mean,Cp_imp_std,Cp_signed_mean,Cbc_imp_mean,Cbc_imp_std,Cbc_signed_mean
0,400.0,0.00021297353911601627,9.266147675438883e-05,4.2556392145343125e-05,0.00018632195375782126,9.928189069703041e-05,-6.220613310385185e-06,0.0003689444614186262,0.00016702332395848905,-0.00011595104539689298,0.00032651496439939365,0.00018367265581949865,9.643926176750028e-05,0.0001724199876965334,0.00010932264269125798,-6.56366743593632e-06,0.0003801141307728055,0.00019787221002847555,-8.690404926407307e-05,0.00024301421702451384,0.00011599259723681785,-6.0347392718540505e-05,0.0002011272699746769,0.0001418583521444688,4.339803126640618e-06
1,401.0,0.0004124514671275392,0.00027992121747825256,0.00014573030360528114,0.0003399109749201064,0.00017253789908834507,5.4777252747347425e-05,0.0005460558362149944,0.00016052563269456597,6.819365686775807e-05,0.00031772837004003424,8.296044964898985e-05,5.22477366757812e-05,0.00020161669817753136,7.285644692935679e-05,-9.44597983713417e-06,0.0004786116381486257,0.00010126700029792468,9.441152845586961e-06,0.000351832762438183,0.00017246792527145463,-0.00011388029452064075,0.00023915079267074665,7.885050874257353e-05,-6.5087582091412815e-06
2,402.0,0.0004905755534612884,0.00019679105043909342,0.00016787433317707232,0.0004019806704794367,8.106402193886722e-05,0.00012030758807668462,0.0006475194920009623,0.00025828683165250726,0.00015292090877968198,0.00032070126811352867,5.04076362389522e-05,6.229307170239433e-05,0.00018910558234589794,3.4118468406484824e-05,2.851344409767383e-05,0.0004918350508281341,8.592706872105777e-05,2.115571866549241e-05,0.0003750705218408257,6.75905407926393e-05,-0.00010397350221561889,0.00022056781745050102,4.002814656142346e-05,3.928517041155525e-05
3,403.0,0.0005035240125531951,0.00020398185806137613,0.00012665513107397905,0.0004652325490800043,0.0001634385983242049,9.842312768644964e-06,0.0007704470966321727,0.00016449050715244514,0.00020953104831278324,0.0005213569772119323,0.00014153136010090067,5.888581169225896e-05,0.0002626917266752571,7.557485610724948e-05,2.1688021661248058e-05,0.0004857855092268437,9.379049312255973e-05,-7.482657868725558e-06,0.0004999432809806118,0.00019308659111149168,-9.011697269064219e-05,0.00031042010717404384,9.200719523760633e-05,3.0635081808820054e-05
4,404.0,0.0005622512059441457,0.0002644665374768718,0.00016698990778725906,0.0004810384028435995,0.00015566887937505243,1.5843208871046954e-05,0.0008340738131664693,7.40414707670535e-05,0.00013444836561878523,0.000532253315517058,0.0001247992079233796,9.987779170235929e-05,0.00027200791616148007,7.460091983405777e-05,5.1311145246775896e-06,0.0005768481253956755,5.331576824138259e-05,5.344341965004181e-05,0.00047947750620854396,0.00016359755038679647,-8.47776730855306e-05,0.00032668374963880825,8.734939511913208e-05,1.2534527589499097e-05
5,405.0,0.0006282255247545739,0.0001646512367211808,0.0003225528031786477,0.0005252257105894387,9.653009021085568e-05,0.00017530578528142846,0.001119278584762166,0.0006942277967341974,0.00047170152053392184,0.00048467381081233424,5.0241913008020765e-05,0.0001331278132662798,0.0002527151712759708,2.8161193271647994e-05,7.405511799637073e-05,0.0006932484490486482,0.00021155237252309172,0.0001889700724859722,0.0005016904421305904,0.00014323056122629685,0.00020794079561407366,0.0003003437595907599,3.301837855577671e-05,9.820078291037741e-05
6,406.0,0.0008120254691069325,0.00039873296376845876,0.0003614545579087765,0.0006874221047231307,0.0002950516547235515,0.00014571259574343762,0.0011721648237047095,0.00040965180917003347,0.00037218287858801585,0.0007164583075791597,0.00012463034588163483,0.00018931344917897755,0.0003460846298063795,4.237064652935117e-06,6.888296290223177e-05,0.0007894018587345878,0.0002124466040395392,0.0002562112155525635,0.0006270175605701903,8.411057553284681e-05,0.00020100257825106382,0.00042417134197118383,8.727363691180958e-06,9.154607535795851e-05
7,407.0,0.0007123431811730067,0.00040908656643283533,0.00021640490498005724,0.0006940432649571449,0.00039937771297613356,0.00012734414485748857,0.001067748312683155,0.000421079997676276,5.80993655603379e-05,0.0006170059593083957,0.00010654349408263441,0.00010205970268846916,0.00033550582884345204,0.00011577408741758716,5.5659229171093706e-05,0.000752883303600053,4.070038976907867e-05,7.419769341746966e-06,0.0006721720953161517,0.00030683768025125964,4.7423134674318135e-05,0.00040094870200846344,0.00013404282130424688,7.253905156782518e-05
8,408.0,0.0007569638934607307,0.00036686562419215686,0.00033970158741188544,0.000670453223089377,0.00028408535032574135,0.0001847074842468525,0.0010966865617471437,0.0002255501255702801,0.00020887569795983532,0.0006075794226489961,2.7637020098442834e-05,0.00013790244217185924,0.0003162333353733023,2.3513053268670623e-05,9.044282099542518e-05,0.0008921257685869932,0.00019662501932369065,0.0001978335749299731,0.0006161597945416967,0.00014305341605314037,0.0002480394856926675,0.0003669782114836077,2.2333606139785802e-05,0.00010632684037166958
9,409.0,0.0008764260758956274,0.0004490795758225902,0.000492495140254808,0.0008281641445743541,0.00046119575349324037,0.0002694999372276167,0.0013906055440505345,0.0005496241002235679,0.00032226785939807695,0.0008703969845858713,0.00026976918552196693,0.00019993592468381394,0.000467172513405482,8.165203695937657e-05,0.00012184196263357687,0.0011265834715838234,0.0005196930824298082,0.0005080277818099906,0.0008218028427412113,0.00024513845968709763,0.0003905290310891966,0.0005721569856783996,0.00011278457083429117,0.0001587755464242946
