,R2,RMSE,nRMSE,MAE,Bias
Anth,-0.013376712799072266,0.46042874455451965,0.19613095271344133,0.31750068068504333,-0.03451423719525337
B,0.2192380428314209,0.0002364193060202524,0.10249728013261283,0.00013565535482484847,-2.2634769266005605e-05
C,0.5516195297241211,2.9384214878082275,0.09015148797614717,1.6920320987701416,-0.6391012668609619
Ca,0.14512604475021362,0.08754469454288483,0.118229103401788,0.05157402530312538,-0.019970444962382317
Car,0.29738616943359375,2.190647602081299,0.12774295324586463,1.5007312297821045,-0.1320546418428421
Cel,0.45480990409851074,1.4030267000198364,0.09434963766094391,0.8531075716018677,-0.24544739723205566
Chl,0.444105863571167,10.178149223327637,0.1396197681324748,7.595698356628418,0.8934618830680847
Cu,0.3891873359680176,2.646477150847204e-05,0.10270766554210238,1.8550679669715464e-05,-2.6159641492995434e-06
EWT,0.4651222229003906,6.456273078918457,0.10398025185674496,4.156646728515625,-1.3164420127868652
Fiber,0.47886407375335693,3.268143653869629,0.11281720298423145,2.000075340270996,-0.6950741410255432
LAI,0.4248405694961548,1.2634861469268799,0.1745189309971429,0.9459226727485657,-0.09754528850317001
LMA,0.594354510307312,43.142333984375,0.07446301842360394,23.870264053344727,-8.094120979309082
Lignin,0.4989801049232483,1.6538186073303223,0.1207058827460049,1.0704699754714966,-0.3732587397098541
Mg,0.27383536100387573,0.013357928022742271,0.12544580025391835,0.008812354877591133,-0.002774494932964444
Mn,0.2834646701812744,0.0018727643182501197,0.1540640956441226,0.0013076754985377192,-0.00045542031875811517
N,0.4205204248428345,0.0750679299235344,0.08764703780247804,0.049803558737039566,-0.00848157424479723
NSC,0.49606531858444214,1.9272469282150269,0.1111470312848389,1.183489441871643,-0.4150769114494324
P,0.31202828884124756,0.007614531554281712,0.10418544314423975,0.005122374277561903,-0.00129912537522614
K,0.14939504861831665,0.0553823746740818,0.1408061317269989,0.037884291261434555,-0.013365067541599274
S,0.262021005153656,0.007317099720239639,0.15217340945791027,0.00512282457202673,-0.0012577689485624433
