,R2_mean,R2_std,RMSE_mean,RMSE_std,nRMSE_mean,nRMSE_std,MAE_mean,MAE_std,Bias_mean,Bias_std
Anth,0.14102617502212525,0.09890040696636912,0.37681381702423095,0.05535710522833694,0.1798812253796262,0.013957411267132833,0.27901841402053834,0.028703112479179598,-0.05411593839526176,0.04595722498064194
B,0.2574928760528564,0.04037433528476739,0.00022449731186497958,2.255043174226827e-05,0.10982667624572022,0.009331556575197145,0.00013766461343038826,7.786782617919177e-06,-3.180536332365591e-05,6.729975163141776e-06
C,0.5487756133079529,0.04020501444812088,2.97819185256958,0.1416036618455319,0.09955034369195745,0.012284323221341622,1.6454112768173217,0.057042522258471,-0.6627865791320801,0.09027450498007585
Ca,0.12387478351593018,0.02922721485492094,0.09503590762615204,0.006467341941522867,0.11337614283204904,0.006603018022528257,0.05646241307258606,0.003207158337494261,-0.022617635130882264,0.0036272994513526537
Car,0.2671178698539734,0.07285648628522753,2.365394115447998,0.25692250321082755,0.12288841824709155,0.026122785544185116,1.62360360622406,0.09890783968041207,-0.131325364112854,0.05205312612922938
Cel,0.49483178853988646,0.04450541924139626,1.3286410093307495,0.08911908525976205,0.12343433001778896,0.019291303121210565,0.8154741644859314,0.04696953234323604,-0.28565752804279326,0.05133208371741903
Chl,0.3926511526107788,0.06454119922270413,11.298025131225586,1.3685873377333595,0.13011720652052605,0.036669438057691586,8.101957893371582,0.2640761482885952,0.751478872448206,0.5364307032610985
Cu,0.37878007888793946,0.02936385633010867,2.6378254187875427e-05,9.927126356695493e-07,0.11144436303519878,0.010129430493743765,1.8297185670235193e-05,6.187935290386275e-07,-4.196039253656636e-06,1.2667587992940335e-06
EWT,0.4182134747505188,0.04290690615622516,7.051319599151611,0.6216571543365206,0.11429129225461494,0.013360722243623143,4.375498294830322,0.2947143053029123,-1.5638799905776977,0.441554178876156
Fiber,0.5103940963745117,0.04321501525761057,3.1935802459716798,0.22032883018283694,0.1255915344017599,0.015043975550579743,1.9422924280166627,0.08948940793256477,-0.6366829454898835,0.1565356890655283
LAI,0.41520402431488035,0.061222307307659325,1.2544795036315919,0.06850959485881715,0.17252448515721253,0.005141414024903971,0.9457933664321899,0.04423153625338105,-0.06821351200342178,0.032948643212257024
LMA,0.6029907464981079,0.03740962525834604,42.82749557495117,1.88159942690989,0.0791292047054118,0.008207043659057289,22.98206481933594,0.65667698255286,-7.506410694122314,0.8350879982862909
Lignin,0.4945317983627319,0.034995386266024955,1.709047055244446,0.10750116503817235,0.12944012870322555,0.006247391540975856,1.072471523284912,0.03966835493080843,-0.3495490103960037,0.11069512949361265
Mg,0.16963746547698974,0.05591886783467063,0.014686800353229047,0.001175291459290272,0.13138662339050172,0.012820797489069618,0.009710140898823738,0.000791461757662676,-0.00317363808862865,0.0006995164511458191
Mn,0.20683611631393434,0.07154717442904661,0.0020557081094011664,0.00015072321780992254,0.15222207103085997,0.016301085147100842,0.001418976509012282,8.291217233834005e-05,-0.00041202218271791936,4.104718529658458e-05
N,0.43889176845550537,0.026963787330029146,0.07187891900539398,0.002918897155850535,0.09375328873813961,0.013710467618337024,0.04723367318511009,0.0019552245727962503,-0.00809003235772252,0.0009591948574888429
NSC,0.4573142647743225,0.04469254325447906,2.092281174659729,0.1186365905258096,0.12125931067547402,0.019503844256781422,1.223602056503296,0.04699845263679094,-0.3872600257396698,0.03684987522965403
P,0.35352271795272827,0.04117935586750377,0.007563759852200746,0.0004830840594827198,0.12059791672722457,0.00962628322661727,0.005190921109169721,0.00024168068818462436,-0.0012860646238550544,0.00047286382053872823
K,0.17786842584609985,0.0560192541930294,0.05657865926623344,0.0031360208260812587,0.13927047645469065,0.011759391996307628,0.03922441080212593,0.002409888679913614,-0.011600616574287414,0.0019350470112146278
S,0.3142471551895142,0.0349266898036268,0.007537606917321682,0.0003997427381342084,0.15175478157852496,0.007793534928295842,0.005235513299703598,0.00011995490305539423,-0.001725670718587935,0.00032890907722556075
