fold,held_out,n_test,val_loss,r2_mean_pooled
0,"[1, 2, 4, 5, 6]",1596,0.11325574358925224,0.13830175815326357
1,"[2, 7, 8, 9, 10]",640,0.10289492555286574,-0.0015825850058310692
2,"[2, 11, 12, 13, 14]",1230,0.12569087176095872,-0.5469780033461986
3,"[3, 15, 16, 17, 18]",797,0.10759432895316018,0.3522268116866139
4,"[2, 19, 20, 21, 22]",823,0.09840182570571249,-0.07536665361021998
5,"[2, 23, 24, 25, 26]",535,0.0915846987829908,-0.48306330485061577
6,"[2, 27, 28, 29, 30]",705,0.09627986873189608,-0.2834295666404607
7,"[2, 31, 32, 33, 34]",683,0.09224118884238931,0.2934463658889567
8,"[2, 35, 36, 37, 38]",832,0.08982881768183275,0.2346963162180145
9,"[3, 39, 40, 41, 42]",568,0.09431038246206615,0.288238978422661
10,"[2, 43, 44, 45, 46]",507,0.10583194012337542,0.05646804124739483
11,"[2, 47, 48, 49, 50]",2543,0.12384775511043913,-0.05110873780702703
