fold,held_out,n_test,val_loss,r2_mean_pooled
0,"[1, 2, 4, 5, 6]",1596,0.10320572573691607,0.09406942080957512
1,"[2, 7, 8, 9, 10]",640,0.10161921209858163,0.044442851010546555
2,"[2, 11, 12, 13, 14]",1230,0.12609486645531087,-0.10706710848408649
3,"[3, 15, 16, 17, 18]",797,0.1188365451991558,-0.4972577851285329
4,"[2, 19, 20, 21, 22]",823,0.10036436197432605,-0.033521007932051615
5,"[2, 23, 24, 25, 26]",535,0.09243850426181503,-0.42358676431033243
6,"[2, 27, 28, 29, 30]",705,0.09027520343661308,0.08346740242400341
7,"[2, 31, 32, 33, 34]",683,0.09194692720969518,0.29143227422317436
8,"[2, 35, 36, 37, 38]",832,0.09160403238440101,0.23751218675135233
9,"[3, 39, 40, 41, 42]",568,0.0982607125264147,0.26580057770896315
10,"[2, 43, 44, 45, 46]",507,0.10828178914937567,-0.03564932764749754
11,"[2, 47, 48, 49, 50]",2543,0.11128995852435336,0.007064441449601111
