fold,held_out,n_test,val_loss,r2_mean_pooled
0,"[1, 2, 4, 5, 6]",1596,0.1109857683070004,0.11398144791493979
1,"[2, 7, 8, 9, 10]",640,0.10763090354916842,0.020837209758396036
2,"[2, 11, 12, 13, 14]",1230,0.14907063667972884,-0.11312488491368605
3,"[3, 15, 16, 17, 18]",797,0.1114707554380099,0.3649443547443477
4,"[2, 19, 20, 21, 22]",823,0.1033711964264512,0.019983846911047393
5,"[2, 23, 24, 25, 26]",535,0.09468289642878201,-0.211211930058747
6,"[2, 27, 28, 29, 30]",705,0.10081467686427964,0.018930557583813262
7,"[2, 31, 32, 33, 34]",683,0.09663071864181094,0.2591904402765713
8,"[2, 35, 36, 37, 38]",832,0.09982411250133406,0.2582466142386982
9,"[3, 39, 40, 41, 42]",568,0.0953440324038915,0.31963411224012256
10,"[2, 43, 44, 45, 46]",507,0.11084758934188396,0.030204993903581834
11,"[2, 47, 48, 49, 50]",2543,0.12285547133754282,-0.1600594208821987
