fold,held_out,n_test,val_loss,r2_mean_pooled
0,"[1, 2, 4, 5, 6]",1596,0.11075489255599677,0.12450626780578679
1,"[2, 7, 8, 9, 10]",640,0.14358442155239376,0.08303626185104669
2,"[2, 11, 12, 13, 14]",1230,0.11503499888238453,-0.14837504065352733
3,"[3, 15, 16, 17, 18]",797,0.10370018780231476,0.40100639179622727
4,"[2, 19, 20, 21, 22]",823,0.09512335324490612,0.07149215574691244
5,"[2, 23, 24, 25, 26]",535,0.08756174446771973,-0.5980478785926914
6,"[2, 27, 28, 29, 30]",705,0.09546620224912962,0.12522184953104665
7,"[2, 31, 32, 33, 34]",683,0.09428289466434055,0.24101359531407213
8,"[2, 35, 36, 37, 38]",832,0.09105005123737184,0.2358614064061899
9,"[3, 39, 40, 41, 42]",568,0.09625695921156717,0.25986334054283594
10,"[2, 43, 44, 45, 46]",507,0.10408028009090017,-0.004317952883039729
11,"[2, 47, 48, 49, 50]",2543,0.11863225775168222,-0.09152627176670992
