fold,held_out,n_test,val_loss,r2_mean_pooled
0,"[1, 2, 4, 5, 6]",1596,0.10683982373698603,0.18195954231121053
1,"[2, 7, 8, 9, 10]",640,0.09610347726105989,-0.10678718971311124
2,"[2, 11, 12, 13, 14]",1230,0.11632059483104441,-0.37673126258135353
3,"[3, 15, 16, 17, 18]",797,0.09406713130517622,0.3286813669944752
4,"[2, 19, 20, 21, 22]",823,0.09043391468003392,-0.11489670362770356
5,"[2, 23, 24, 25, 26]",535,0.09126148759589894,-0.5668143677776796
6,"[2, 27, 28, 29, 30]",705,0.08870624491117067,0.23242261242717444
7,"[2, 31, 32, 33, 34]",683,0.09169366175515783,0.2486967171584044
8,"[2, 35, 36, 37, 38]",832,0.08824162487871945,0.23567696876057526
9,"[3, 39, 40, 41, 42]",568,0.08622548327996181,0.24451517553949742
10,"[2, 43, 44, 45, 46]",507,0.1035557060792882,0.01383722608730357
11,"[2, 47, 48, 49, 50]",2543,0.10630851953443307,-0.13599054505442326
