fold,held_out,n_test,val_loss,r2_mean_pooled
0,"[1, 2, 4, 5, 6]",1596,0.18413088293746113,-0.2686677675334825
1,"[2, 7, 8, 9, 10]",640,0.18908021842008052,-0.33639127893785586
2,"[2, 11, 12, 13, 14]",1230,0.21044758104142688,-0.51682148754005
3,"[3, 15, 16, 17, 18]",797,0.18915210316578548,0.1912195253934432
4,"[2, 19, 20, 21, 22]",823,0.1770080817355351,-0.43309192754366704
5,"[2, 23, 24, 25, 26]",535,0.16723120228751845,-0.3593764908743284
6,"[2, 27, 28, 29, 30]",705,0.1706974019606908,-0.12788107091330692
7,"[2, 31, 32, 33, 34]",683,0.1575787627034717,0.059678263848687504
8,"[2, 35, 36, 37, 38]",832,0.1591232381761074,-0.009397303839699125
9,"[3, 39, 40, 41, 42]",568,0.16710478909637616,0.10200968273474528
10,"[2, 43, 44, 45, 46]",507,0.19070896767872444,-0.390721069552819
11,"[2, 47, 48, 49, 50]",2543,0.16677542819696314,-0.4615142539314492
