cab,cw,cm,LAI,cp,cbc,car,anth
19.33997867,0.006019982,0.001900473,,0.000228797,0.001671676,,
24.07812286,0.006617554,0.002789021,,0.000267575,0.002521447,,
19.01040153,0.006612723,0.003596897,,0.000425184,0.003171713,,
25.50478552,0.007095194,0.00314939,,0.000364291,0.0027851,,
11.52918621,0.01271285,0.005076995,,0.000324028,0.004752967,,
23.12853602,0.006949855,0.002834181,,0.000379417,0.002454764,,
26.74102578,0.007146532,0.002749282,,0.000376911,0.002372371,,
23.21848045,0.010465219,0.007158453,,0.000508067,0.006650386,,
24.4125549,0.01189284,0.002296931,,0.000329267,0.001967665,,
20.81039549,0.010573226,0.001913176,,0.00035793,0.001555245,,
27.63801383,0.013132381,0.006939162,,0.000448336,0.006490826,,
26.52690577,0.026592068,0.006424614,,0.000675945,0.005748669,,
36.39925699,0.033701728,0.008815622,,0.000831243,0.00798438,,
30.0367018,0.017796417,0.002999125,,0.000415749,0.002583376,,
29.73668941,0.017495578,0.003030578,,0.000403381,0.002627197,,
26.40689094,0.019479939,0.003837375,,0.000358049,0.003479327,,
36.50776719,0.011471567,0.004131957,,0.000377099,0.003754858,,
20.54481648,0.015213831,0.004420142,,0.000395007,0.004025136,,
25.34002976,0.010570746,0.003816491,,0.000408646,0.003407845,,
34.04738199,0.010889923,0.004665231,,0.000512508,0.004152722,,
29.78528674,0.010351932,0.002994561,,0.000386044,0.002608517,,
63.27106705,0.029629615,0.012135753,,0.000989557,0.011146196,,
47.90419839,0.046313387,0.010218258,,0.001084208,0.00913405,,
38.23814723,0.012205875,0.003918885,,0.000479049,0.003439836,,
27.09807274,0.011423791,0.005122086,,0.000303315,0.00481877,,
18.70853914,0.00581484,0.00182079,,0.000206878,0.001613912,,
27.87120037,0.008695349,0.00459272,,0.000430918,0.004161803,,
22.82402641,0.010996594,0.002406152,,0.000247142,0.00215901,,
23.92323637,0.01043868,0.002166009,,0.000219201,0.001946808,,
22.080311,0.009967703,0.002577023,,0.000228194,0.002348829,,
23.91327112,0.017322063,0.003108604,,0.000210332,0.002898272,,
42.22470055,0.015882364,0.005206602,,0.000529162,0.00467744,,
28.70283793,0.020794318,0.005400967,,0.000463067,0.0049379,,
16.20385481,0.008571388,0.00226916,,0.000227811,0.00204135,,
19.55188465,0.009401716,0.002792747,,0.000306926,0.002485821,,
17.60445922,0.009342698,0.002877857,,0.000232402,0.002645455,,
19.09442534,0.010728335,0.002861952,,0.000291446,0.002570506,,
17.83742086,0.007044039,0.003043546,,0.00033969,0.002703856,,
23.32002101,0.010270048,0.003960923,,0.000370099,0.003590824,,
32.53311774,0.016942867,0.004983335,,0.00063657,0.004346765,,
32.12775315,0.016783913,0.004803201,,0.000685282,0.004117919,,
39.49312606,0.014869251,0.003691427,,0.000590531,0.003100896,,
26.58720846,0.018317989,0.004805414,,0.000495993,0.004309421,,
67.09652688,0.038172834,0.011309004,,0.000568182,0.010740822,,
59.72068112,0.04419384,0.014489293,,0.001349449,0.013139844,,
23.04243089,0.013975078,0.003800152,,0.00031053,0.003489622,,
26.65785548,0.014408935,0.002862794,,0.000302221,0.002560573,,
23.3681515,0.014930509,0.006005142,,0.000609841,0.005395301,,
26.44842023,0.007577363,0.003818126,,0.000458585,0.003359541,,
41.09779798,0.010352415,0.007930207,,0.00117073,0.006759478,,
24.07957837,0.013992234,0.003454289,,0.000384312,0.003069977,,
23.75527923,0.013888468,0.003476277,,0.000359525,0.003116751,,
23.15972671,0.011625371,0.006161361,,0.000470356,0.005691004,,
41.05300708,0.011499325,0.0068741,,0.000704908,0.006169192,,
18.99645619,0.008422862,0.005972005,,0.000358624,0.005613381,,
27.17428201,0.01354191,0.005958324,,0.000465023,0.005493301,,
25.55150263,0.01168077,0.005638359,,0.000426171,0.005212188,,
25.13063808,0.011311168,0.005027568,,0.000487792,0.004539776,,
21.35919553,0.014821668,0.006946906,,0.000500749,0.006446158,,
10.97772846,0.011343144,0.006788017,,0.000294726,0.006493292,,
17.68320468,0.011756334,0.006692424,,0.000426641,0.006265782,,
14.5461188,0.011999825,0.005976072,,0.000312104,0.005663968,,
50.00344856,0.025286237,0.003777908,,0.000496262,0.003281645,,
48.53845705,0.02387704,0.00550357,,0.000672829,0.00483074,,
41.235521,0.024875985,0.004949534,,0.000523272,0.004426262,,
34.70645849,0.02244784,0.00379958,,0.000725623,0.003073957,,
25.14113285,0.022970666,0.003217007,,0.000244538,0.002972469,,
38.04438331,0.021994251,0.004173416,,0.000473977,0.003699439,,
35.67605125,0.028986553,0.004637533,,0.000417115,0.004220418,,
38.65698995,0.01789297,0.005144674,,0.000568153,0.004576522,,
30.09513686,0.010699365,0.00518915,,0.000649558,0.004539591,,
35.90387324,0.012180044,0.005870335,,0.000523607,0.005346728,,
38.06426302,0.011318419,0.006177461,,0.000866805,0.005310656,,
26.76447412,0.019790797,0.008979122,3.212962055,,,7.547696358,0.968686196
24.74853403,0.012446343,0.00359777,3.715885375,,,7.6387921,1.183458544
28.7475392,0.014464697,0.004582706,2.905599209,,,8.451562485,1.138707777
68.18551947,0.019947869,0.007090204,1.650159684,,,11.62001715,2.169330615
37.09796539,0.012840751,0.004271898,3.242724716,,,9.023417861,1.673124118
29.29625649,0.012497959,0.002912943,4.332305929,,,8.748426166,1.030723475
32.97792168,0.010730474,0.003867542,2.618133643,,,7.920989256,1.416568852
42.52215804,0.020123155,0.005090673,2.272846154,,,12.04510322,1.335144561
27.5844285,0.013642396,0.003811472,1.855035968,,,8.623809006,1.287536996
37.67601888,0.029936883,0.005694342,3.985629249,,,10.91858869,1.116725575
49.51951783,0.017614144,0.003691983,3.225553406,,,11.36733485,2.203916684
29.37303977,0.012677043,0.004200823,5.134309486,,,8.897926897,1.237890976
39.93271752,0.018420571,0.005357782,5.041697416,,,10.95000196,1.752261677
65.58076382,0.017748975,0.005607826,0.597367194,,,12.11460323,1.600649004
28.84675716,0.019339371,0.002648356,4.6418,,,8.740200717,0.871428343
36.9835463,0.017558743,0.003661106,3.742598897,,,9.102526397,1.440179677
34.66482346,0.017322905,0.00237366,3.397279044,,,9.119797188,1.312453372
36.83426917,0.019526961,0.00277724,3.357968412,,,9.789430026,1.108106957
46.77649605,0.013931596,0.003428464,4.572313012,,,10.84199867,1.841728981
40.41117533,0.022792972,0.003346523,4.1615,,,10.79531257,1.5147519
11.39552854,,,0.185566772,,,5.237370171,0.898114386
26.9641431,0.017631523,0.008623366,3.403160953,,,7.59035155,0.943068951
24.80128858,0.012233248,0.003760415,4.173440607,,,7.723132358,1.150168938
28.34781914,0.013776628,0.004613465,3.421533347,,,8.362843953,1.13332355
67.26299066,0.018637691,0.006911706,2.288419846,,,11.68842464,2.088911436
34.53438166,0.012060752,0.00431911,3.894037603,,,8.957947219,1.611423618
28.81359031,0.012272288,0.003211286,4.192724298,,,8.818611137,1.03938171
32.59127447,0.010076904,0.003884174,3.246462203,,,8.093649623,1.383780847
40.78693099,0.019614151,0.005245072,2.751174825,,,11.80765352,1.342719993
26.6341299,0.013210577,0.004067795,2.303239401,,,8.46512874,1.243804766
36.7674536,0.029688653,0.005892743,4.141808737,,,10.76277878,1.052231379
46.01352367,0.016258335,0.003836118,3.240217105,,,11.0960983,2.022006727
28.85918498,0.012313273,0.004343945,5.421877346,,,8.927648595,1.244632136
36.40127244,0.018344562,0.005116348,4.91657104,,,10.5178251,1.818618854
64.51499952,0.017230393,0.005861777,0.911763095,,,11.97217215,1.60783379
26.15906687,0.015984426,0.002706881,4.0238,,,8.174988201,0.853262123
36.47055088,0.015121077,0.003578592,4.204001103,,,9.270984968,1.526747342
33.92166481,0.017047846,0.002697806,2.722846149,,,9.099317901,1.320270635
40.00152803,0.017779874,0.002915164,3.923863111,,,9.947849003,1.330279578
45.55877197,0.013716061,0.003374587,4.481435119,,,10.71617282,1.80954791
38.92696403,0.021138105,0.003468835,4.77375,,,10.91132889,1.542308473
13.93011518,,,0.299947806,,,5.575082154,0.893277194
27.13356608,0.015707787,0.008309201,3.585484044,,,7.619923515,0.919914237
24.76882552,0.012054091,0.003896756,4.581430518,,,7.780232533,1.117428376
27.99340277,0.013161998,0.004632154,3.897086998,,,8.280820441,1.126706506
66.46363893,0.017462541,0.006757285,2.880112503,,,11.75364076,2.0212197
32.19180842,0.01134384,0.004353515,4.485881643,,,8.883702827,1.548682441
28.36430429,0.01207779,0.003470766,4.061438902,,,8.873376745,1.047345872
32.27359121,0.009502207,0.003889339,3.822819014,,,8.240334269,1.353375679
38.96002508,0.01918194,0.005384474,3.149601399,,,11.53067527,1.335833557
25.8005255,0.012803207,0.004281703,2.705798045,,,8.319308142,1.206638504
35.99423441,0.02947204,0.006055076,4.284054275,,,10.62803735,0.998261899
42.95293939,0.015063631,0.003967817,3.269170666,,,10.86157784,1.860984239
28.39852904,0.012008694,0.004469857,5.680152195,,,8.953352694,1.250460478
33.24150721,0.018302923,0.004950892,4.784800375,,,10.12557124,1.871220177
63.42192478,0.016752376,0.006097657,1.202770709,,,11.83813111,1.613832709
19.41490343,0.014778601,0.002565471,3.5008,,,7.030633345,0.801445769
35.93890206,0.012983437,0.003502125,4.62901973,,,9.395465671,1.595767507
33.14658884,0.016726568,0.002952975,2.163385632,,,9.049222308,1.319848601
42.81463964,0.01618061,0.003039215,4.432610407,,,10.09553082,1.52670688
44.48197455,0.013530571,0.003330009,4.389625722,,,10.61304618,1.787605601
37.53944947,0.020078721,0.003799106,5.124666667,,,10.94060763,1.521565097
33.82634554,0.010653486,0.002742269,4.700901471,,,9.952183496,1.552383007
16.24303472,0.008671466,0.002675261,0.397018824,,,5.912575856,0.895493398
27.27274307,0.014019588,0.008036628,3.759931329,,,7.636412252,0.899222057
24.65114486,0.011908871,0.004006795,4.939855107,,,7.810092626,1.085236858
27.68429009,0.012620808,0.004638774,4.332260162,,,8.20549195,1.118856646
65.78746429,0.016422421,0.006626941,3.425237653,,,11.81566551,1.966255405
30.07024566,0.010690014,0.004375113,5.018256837,,,8.800684686,1.484900589
27.94839843,0.011914465,0.003691384,3.93844974,,,8.91272299,1.054615961
32.02487189,0.009006385,0.003883039,4.347204076,,,8.361043194,1.325353351
37.04144032,0.018826523,0.005508878,3.468125874,,,11.21416848,1.314485253
25.0836153,0.012420286,0.004453195,3.062711899,,,8.186347211,1.176038208
35.35636132,0.029287044,0.006181341,4.412365862,,,10.51436442,0.954817133
40.33776498,0.014030031,0.004087079,3.312414087,,,10.66377346,1.720849222
27.99107194,0.011763306,0.004578557,5.909134034,,,8.975039193,1.255376001
30.45342183,0.018295656,0.004861413,4.646385421,,,9.773240382,1.910065646
62.3015396,0.016314924,0.006315466,1.470390035,,,11.71248013,1.618645761
8.614266842,0.015721895,0.002224124,3.0728,,,5.30713615,0.715979279
35.38859982,0.011145823,0.003431707,5.017654779,,,9.475968505,1.647240174
45.27360399,0.014729168,0.003149394,4.884210302,,,10.23247548,1.697388864
43.54610378,0.013375125,0.003294727,4.29688482,,,10.53261873,1.775902053
36.24863164,0.019614821,0.004337336,5.21425,,,10.88314878,1.452521772
32.27034476,0.010499361,0.002929116,4.749754412,,,9.680923126,1.484379487
27.38167406,0.012566928,0.007805646,3.926502808,,,7.639817762,0.880992408
24.44824659,0.01179759,0.00409053,5.248714375,,,7.812712635,1.053594385
27.42048111,0.012153057,0.004633324,4.72705284,,,8.136858478,1.109773969
65.23446673,0.015517329,0.006520673,3.923795299,,,11.8744989,1.924018552
28.16969338,0.010099274,0.004383905,5.491163184,,,8.708892795,1.420078061
27.56587274,0.011782312,0.003873139,3.823756813,,,8.936649872,1.061191976
31.84511651,0.008589436,0.003865273,4.819617389,,,8.455776398,1.299713862
35.03117669,0.018547898,0.005618284,3.706748252,,,10.85813315,1.27867508
24.48339931,0.012061815,0.00458227,3.373980965,,,8.066245947,1.152003879
34.85383433,0.029133666,0.00627154,4.526743499,,,10.42175999,0.921897082
38.16800044,0.013157537,0.004193906,3.369947368,,,10.50268515,1.601601675
27.6368137,0.01157711,0.004670047,6.108822862,,,8.992708093,1.259378707
28.03701629,0.018322759,0.004847913,4.501326178,,,9.460832526,1.935155259
61.15384399,0.015918038,0.006515205,1.714621073,,,11.59521919,1.622272946
34.81964417,0.009608237,0.003367337,5.36990625,,,9.51249347,1.681165341
47.37842108,0.013425548,0.003245701,5.278662794,,,10.35868298,1.842325529
42.75115967,0.013249725,0.003268743,4.203212413,,,10.47489049,1.774437268
35.05451056,0.019746405,0.005083524,5.0425,,,10.73895234,1.335178499
30.8837053,0.010376081,0.003099305,4.792235747,,,9.43724631,1.424907827
27.46035905,0.011349806,0.007616256,4.085198481,,,7.630140045,0.865225292
24.16013071,0.011720246,0.004147962,5.508008321,,,7.788092561,1.022500957
27.20197583,0.011758745,0.004615804,5.08146503,,,8.074920026,1.099458476
64.80464625,0.014747266,0.006438482,4.375785438,,,11.93014091,1.894509141
26.49015158,0.00957162,0.00437989,5.904600684,,,8.608327154,1.354214857
27.2167272,0.011681333,0.004016031,3.717360121,,,8.945157392,1.067073918
31.73432508,0.008251361,0.003836042,5.240058953,,,8.524533881,1.276457211
32.92923421,0.018346066,0.005712693,3.865468531,,,10.46256929,1.228403039
23.99987752,0.011727793,0.004668928,3.639605242,,,7.95900435,1.134535517
34.48665345,0.029011904,0.006325671,4.627187185,,,10.35022405,0.899501747
36.44364578,0.012446147,0.004288296,3.441770511,,,10.37831293,1.503241598
27.3357543,0.011450104,0.004744326,6.279218681,,,9.006359392,1.262468594
25.99229059,0.018384233,0.004910391,4.349622647,,,9.188347672,1.946489018
59.97883795,0.015561718,0.006696874,1.935463824,,,11.4863483,1.624714264
34.23203511,0.008370676,0.003309015,5.685774142,,,9.505040566,1.69754301
42.09714222,0.013154369,0.003252056,4.108608501,,,10.43986145,1.783211244
33.95708621,0.020473472,0.006037671,4.609416667,,,10.50801832,1.169535276
29.66642715,0.010283648,0.003252838,4.828345475,,,9.221153048,1.373968026
44.015923,0.011120077,0.003012904,2.613833333,,,10.56141058,1.821228878
27.50879805,0.010368222,0.007468458,4.236018348,,,7.6073791,0.851920708
23.78679723,0.01167684,0.004179091,5.717736946,,,7.736232404,0.991956573
27.02877423,0.011437873,0.004586215,5.395496734,,,8.019676594,1.087910167
64.49800286,0.014112232,0.006380367,4.781208072,,,11.98259155,1.877727171
25.03162027,0.009107053,0.004363069,6.258569337,,,8.498987764,1.287310977
26.90096182,0.011611526,0.00412006,3.619259663,,,8.938245548,1.072261787
31.69249759,0.00799216,0.003795344,5.608528767,,,8.567315642,1.255583399
30.73561287,0.018221027,0.005792104,3.944286713,,,10.02747688,1.163669129
23.63304993,0.011418221,0.004713171,3.859584731,,,7.86462242,1.123633122
34.25481866,0.028921761,0.006343735,4.713696921,,,10.29975661,0.887631126
35.16470099,0.011895863,0.00437025,3.527883514,,,10.29065679,1.425768991
27.08789375,0.011382289,0.004801395,6.420321489,,,9.015993091,1.264645664
24.31924474,0.018480077,0.005048847,4.191274827,,,8.95578582,1.944066923
58.77652148,0.015245963,0.006860472,2.132918286,,,11.38586745,1.625969715
33.62577264,0.007433143,0.003256741,5.965258456,,,9.453609794,1.69637318
28.61851032,0.010222061,0.003389713,4.858083597,,,9.03264334,1.331560086
40.73031583,0.010903601,0.003392806,2.87325,,,10.43740353,1.582356432
31.18019107,0.020222731,0.002936407,2.530965035,,,9.178110102,1.025864465
27.52699105,0.009622176,0.007362251,4.378962409,,,7.571534927,0.841078657
23.32824614,0.011667371,0.004183916,5.87790025,,,7.657132165,0.961961234
26.90087633,0.011190439,0.004544555,5.669147951,,,7.971128182,1.075129041
64.31453655,0.013612227,0.006346329,5.1400632,,,12.03185083,1.873672644
23.79409944,0.008705572,0.004333441,6.553069143,,,8.380874624,1.219366422
26.61857661,0.011572892,0.004185227,3.52945544,,,8.915914342,1.076755583
31.71963405,0.007811832,0.003743181,5.925026832,,,8.584121683,1.237092425
28.45031267,0.01817278,0.005856518,3.943202797,,,9.552855932,1.084473351
