fold,held_out,n_test,val_loss,r2_mean_pooled
0,"[1, 2, 4, 5, 6]",1596,0.105009933328256,0.12395038728320454
1,"[2, 7, 8, 9, 10]",640,0.10740448558784049,0.058286826233798286
2,"[2, 11, 12, 13, 14]",1230,0.1536843255162239,-0.297876888998725
3,"[3, 15, 16, 17, 18]",797,0.0997332906557454,-1.031435179212834
4,"[2, 19, 20, 21, 22]",823,0.09840854689140212,0.15913607418965292
5,"[2, 23, 24, 25, 26]",535,0.09230903892413429,-0.33104503717616696
6,"[2, 27, 28, 29, 30]",705,0.09614736239115397,-1.202047335363369
7,"[2, 31, 32, 33, 34]",683,0.09265256573756536,0.27605374108507186
8,"[2, 35, 36, 37, 38]",832,0.0909927647814832,0.2526795975268189
9,"[3, 39, 40, 41, 42]",568,0.08856215603325678,0.32428818293700606
10,"[2, 43, 44, 45, 46]",507,0.10465559688337306,0.06819358575860336
11,"[2, 47, 48, 49, 50]",2543,0.11714463155059253,0.03175590185240271
