fold,held_out,n_test,val_loss,r2_mean_pooled
0,"[1, 2, 4, 5, 6]",1596,0.10644172392785549,0.12722145032291837
1,"[2, 7, 8, 9, 10]",640,0.09209856293771577,0.1012573124309737
2,"[2, 11, 12, 13, 14]",1230,0.1172999253585225,0.03544132733756883
3,"[3, 15, 16, 17, 18]",797,0.10640700691276127,0.39488064055588123
4,"[2, 19, 20, 21, 22]",823,0.09931906278837811,0.13668542915166282
5,"[2, 23, 24, 25, 26]",535,0.08834908266916223,-0.40274136392152626
6,"[2, 27, 28, 29, 30]",705,0.09925191170639462,0.19750591542252893
7,"[2, 31, 32, 33, 34]",683,0.0893684943103128,0.32536161633746374
8,"[2, 35, 36, 37, 38]",832,0.09277728293091059,0.21350428812598496
9,"[3, 39, 40, 41, 42]",568,0.08906028217271618,0.34481523935581937
10,"[2, 43, 44, 45, 46]",507,0.1014214942746974,0.10783739220797661
11,"[2, 47, 48, 49, 50]",2543,0.10730039667995538,0.03698890454663145
