fold,held_out,n_test,val_loss,r2_mean_pooled
0,"[1, 2, 4, 5, 6]",1596,0.09801238784566521,0.14453369984417447
1,"[2, 7, 8, 9, 10]",640,0.08768736137806074,0.015270889355847764
2,"[2, 11, 12, 13, 14]",1230,0.11467194237879344,0.019377268950554638
3,"[3, 15, 16, 17, 18]",797,0.09108715719646877,0.43722973655229563
4,"[2, 19, 20, 21, 22]",823,0.08459093861959198,0.057524304124568416
5,"[2, 23, 24, 25, 26]",535,0.08240593492012957,-0.8460400718064021
6,"[2, 27, 28, 29, 30]",705,0.08465061378147867,0.29544444265316105
7,"[2, 31, 32, 33, 34]",683,0.0856920055217213,0.28026350968144514
8,"[2, 35, 36, 37, 38]",832,0.07965748926455324,0.2861228315808401
9,"[3, 39, 40, 41, 42]",568,0.07750419065680193,0.361030951264911
10,"[2, 43, 44, 45, 46]",507,0.09074852338179629,0.009029565975994322
11,"[2, 47, 48, 49, 50]",2543,0.10742177836158696,0.03903291390434817
