fold,held_out,n_test,val_loss,r2_mean_pooled
0,"[1, 2, 4, 5, 6]",1596,0.10017911917530001,0.19958294834524973
1,"[2, 7, 8, 9, 10]",640,0.08871582336723804,0.12437427004387668
2,"[2, 11, 12, 13, 14]",1230,0.11177243443117255,-0.3398344611265663
3,"[3, 15, 16, 17, 18]",797,0.08885985389351844,0.4448814336449566
4,"[2, 19, 20, 21, 22]",823,0.08085432373495265,0.08200960838344733
5,"[2, 23, 24, 25, 26]",535,0.07926164810424266,-0.5998290993109391
6,"[2, 27, 28, 29, 30]",705,0.10711169516046842,-98.2593118625093
7,"[2, 31, 32, 33, 34]",683,0.07978481687605381,0.28170429951022924
8,"[2, 35, 36, 37, 38]",832,0.0783778504383835,0.3323801477466264
9,"[3, 39, 40, 41, 42]",568,0.07797503325602283,0.3709993967733579
10,"[2, 43, 44, 45, 46]",507,0.12972965812746515,0.043429921370592095
11,"[2, 47, 48, 49, 50]",2543,0.10756609610774938,0.005369973043208395
