fold,held_out,n_test,val_loss,r2_mean_pooled
0,"[1, 2, 4, 5, 6]",1596,0.09640860399231314,0.19810059136067065
1,"[2, 7, 8, 9, 10]",640,0.09649327202983525,0.04824244403337356
2,"[2, 11, 12, 13, 14]",1230,0.11028567231481984,0.14038537115111793
3,"[3, 15, 16, 17, 18]",797,0.09907909416490131,0.4078801785847895
4,"[2, 19, 20, 21, 22]",823,0.08479480191387913,0.12490282646610888
5,"[2, 23, 24, 25, 26]",535,0.08339114470974258,-0.4817668678289682
6,"[2, 27, 28, 29, 30]",705,0.08697927875651254,0.016863606484624524
7,"[2, 31, 32, 33, 34]",683,0.08390846418009865,0.32195344750960575
8,"[2, 35, 36, 37, 38]",832,0.08536558352749456,0.28643116584186834
9,"[3, 39, 40, 41, 42]",568,0.08336330253792845,0.34348207552709725
10,"[2, 43, 44, 45, 46]",507,0.09630071530316739,0.06609222263337812
11,"[2, 47, 48, 49, 50]",2543,0.12276372762725633,0.10071747192283702
