,R2,RMSE,nRMSE,MAE,Bias
Anth,0.5114253759384155,0.2594391107559204,0.13155462347676738,0.1800622045993805,-0.06820711493492126
B,0.3362187147140503,0.00021538161672651768,0.09796639589011283,0.00013099453644827008,-2.1485528122866526e-05
C,0.7037004828453064,2.434657096862793,0.06691007151442528,1.2315337657928467,-0.27147045731544495
Ca,0.1649385690689087,0.08835731446743011,0.10820995811506935,0.05494437366724014,-0.006950699258595705
Car,0.5526847839355469,1.7999932765960693,0.12464006571466948,1.2307853698730469,-0.09524551033973694
Cel,0.6472395062446594,1.1288918256759644,0.10453135736180134,0.6740212440490723,-0.24959103763103485
Chl,0.6707838773727417,8.316291809082031,0.12525758902988177,5.978096961975098,-0.6842589974403381
Cu,0.5078787803649902,2.4731729354243726e-05,0.10156514344483945,1.6606611097813584e-05,-2.160598114642198e-06
EWT,0.5724941492080688,5.909804344177246,0.09026043111682285,3.5507659912109375,-0.8716678619384766
Fiber,0.6808310151100159,2.6322176456451416,0.09013848493761129,1.5221467018127441,-0.47372210025787354
LAI,0.6551421880722046,0.9755175709724426,0.13494769166409631,0.6674453616142273,-0.037814706563949585
LMA,0.7329174280166626,35.07126235961914,0.0537987606879859,17.095314025878906,-2.4923245906829834
Lignin,0.6929599046707153,1.341647744178772,0.10360349438193807,0.8260083794593811,-0.24925486743450165
Mg,0.25004541873931885,0.013225234113633633,0.12870644632588688,0.008651590906083584,-0.0011425614356994629
Mn,0.28591620922088623,0.00196558004245162,0.13039090046231527,0.0012900909641757607,-0.0004352992691565305
N,0.6138668060302734,0.06066371500492096,0.10248262282338465,0.03926228731870651,-0.00670430064201355
NSC,0.5587520599365234,1.957918643951416,0.0911528488782528,1.0892367362976074,-0.2206357717514038
P,0.4856500029563904,0.006311045493930578,0.12104176245251791,0.00455511175096035,-0.00012414538650773466
K,0.3218749165534973,0.05338481441140175,0.14181057273814227,0.03943033888936043,-0.00812099315226078
S,0.42349010705947876,0.0065769534558057785,0.14356101325275536,0.004725038073956966,-0.0009853540686890483
