,R2_mean,R2_std,RMSE_mean,RMSE_std,nRMSE_mean,nRMSE_std,MAE_mean,MAE_std,Bias_mean,Bias_std
Anth,0.5085074305534363,0.04412517967210969,0.28476162552833556,0.036339152848113544,0.13590598737411047,0.005326127306390257,0.1969636172056198,0.018591525334359357,-0.04734981735236943,0.02709827006275631
B,0.38432673215866087,0.0824614470480506,0.00020464239350985735,2.8228882746054813e-05,0.09939062326577515,0.005371741725158715,0.0001224574545631185,9.046631133840447e-06,-2.576496644906001e-05,1.0841960660299694e-05
C,0.7501466393470764,0.02600690251838926,2.215787076950073,0.12547923934813857,0.07385443589550815,0.007403029942335893,1.2381405115127564,0.03391926195014671,-0.2714454561471939,0.0823209009413903
Ca,0.21522468328475952,0.04076422683116003,0.0899139478802681,0.006145853979755015,0.1072023110499198,0.005136391354933098,0.0548447459936142,0.0023618584126935283,-0.01804470093920827,0.0071503411335652215
Car,0.5120532512664795,0.05641178236575128,1.9327569246292113,0.24993733834994958,0.09963597955861851,0.019729566776875894,1.2193051815032958,0.03709740984460044,-0.07445941036567091,0.03566454581879901
Cel,0.6720663189888001,0.03630308729766787,1.070198369026184,0.08415969910758596,0.09891166107449971,0.012224937592582273,0.6522048115730286,0.03193649802800359,-0.1580286480486393,0.082044954001961
Chl,0.6167495012283325,0.08017386844630912,8.980184078216553,1.6074503333792498,0.10167012611531963,0.026857441834205426,5.868647861480713,0.24146002334103045,-0.21860033869743348,0.34627436697248226
Cu,0.5461898684501648,0.019627614563403176,2.2558554337592796e-05,1.1101181453996757e-06,0.0951924972737547,0.007702976747008343,1.564382400829345e-05,4.974048403246149e-07,-2.270634456635889e-06,1.61083652671547e-06
EWT,0.6252554059028625,0.05059776901837571,5.650436973571777,0.5958969937421392,0.09162815077271338,0.012407646224280132,3.5530462741851805,0.3467199543635158,-1.0426021218299866,0.3068910573710395
Fiber,0.6952783942222596,0.018357117258347974,2.5203295707702638,0.1480217360934176,0.09894782171159995,0.00924339389776054,1.5380033254623413,0.06126469194540143,-0.3375173479318619,0.14280079646458843
LAI,0.6054520010948181,0.03284364401689983,1.0310698866844177,0.05153626802322098,0.14199416208960147,0.007828048339251353,0.7183578252792359,0.047752024192054834,-0.03386107641272247,0.0346176862015947
LMA,0.7799969792366028,0.023788065625353128,31.878153610229493,1.6382348384369567,0.05873845170468898,0.0044933354142870545,17.04610939025879,0.3235924834499594,-3.26809504032135,1.231397472500871
Lignin,0.67706458568573,0.026151666193709875,1.3659942626953125,0.09453327644631096,0.10348567232642913,0.006017935202381541,0.8466660976409912,0.04937367474540365,-0.22673570960760117,0.08101418170857454
Mg,0.2626603603363037,0.061645467920444154,0.013840795680880546,0.001228984691550632,0.12372330479873514,0.01204602155506711,0.009234186075627804,0.000611564790596018,-0.0022077242843806743,0.0009709344136085244
Mn,0.32594584226608275,0.07961659691994571,0.0018907809862866998,0.00011405495264319937,0.140327932636596,0.016974985215894477,0.0012989100767299532,8.000778806217096e-05,-0.0002831909543601796,0.00010892138709088121
N,0.6513254642486572,0.021662156344491926,0.05663785934448242,0.002230477455905158,0.07440663585805982,0.014632989475607563,0.03756542280316353,0.0015002488355556716,-0.004997100029140711,0.0013729772048143552
NSC,0.6477170944213867,0.06476264272097769,1.679034948348999,0.1666767537523842,0.09713715038988939,0.016861094098588218,1.0182029008865356,0.058597690032960656,-0.17192411944270133,0.06529125089601268
P,0.5456704020500183,0.05416652742493049,0.006319081503897905,0.0003116313066709425,0.1011083456480193,0.011267281726928095,0.004398311395198107,0.00016678408283884552,-0.0008478064497467131,0.0004425818474277529
K,0.31532466411590576,0.025769526920163502,0.05176291614770889,0.004161962319720365,0.12717182046739967,0.010270462864412312,0.03647966049611569,0.003115762086240836,-0.008413312770426274,0.0031517711885445895
S,0.4066106915473938,0.053876708376843566,0.006997774913907051,0.0002731907807586565,0.14117731760909755,0.010448859374283822,0.004770378395915031,0.00010702364407420656,-0.0011217972496524453,0.00037641714274623864
