,R2,RMSE,nRMSE,MAE,Bias
Anth,0.5234568119049072,0.3157389163970947,0.13449676027848229,0.1958945095539093,-0.0210898257791996
B,0.3884388208389282,0.000209239442483522,0.09071371586374641,0.00012035857798764482,-1.0239437870041002e-05
C,0.7866916656494141,2.026724338531494,0.06218039705814025,1.2050999402999878,-0.21106649935245514
Ca,0.27991288900375366,0.08034729957580566,0.10850902203958201,0.04991058260202408,-0.01189167145639658
Car,0.5499449372291565,1.7532626390457153,0.10223777987593745,1.1621867418289185,-0.01015402190387249
Cel,0.6465532183647156,1.129676103591919,0.07596757142727047,0.6434381008148193,-0.10144145786762238
Chl,0.6331007480621338,8.26887035369873,0.11342904649647699,5.535984039306641,0.13639496266841888
Cu,0.57893967628479,2.197284447902348e-05,0.08527485533127396,1.5006060493760742e-05,-2.775230143470253e-07
EWT,0.7299160957336426,4.587794303894043,0.0738878299221128,3.005695343017578,-0.5892658233642578
Fiber,0.7130199670791626,2.4252219200134277,0.08371931671608122,1.418792486190796,-0.22501258552074432
LAI,0.5852369070053101,1.0729423761367798,0.14820008668900875,0.7594361901283264,-0.07951986789703369
LMA,0.7975024580955505,30.481769561767578,0.0526110749892205,16.966630935668945,-1.9992995262145996
Lignin,0.7350611686706543,1.2026333808898926,0.08777560200175726,0.772199809551239,-0.1945081502199173
Mg,0.3337249159812927,0.012795235961675644,0.12016149599828435,0.008822543546557426,-0.0016073726583272219
Mn,0.3436274528503418,0.0017924190033227205,0.1474544394461136,0.0012344114948064089,-0.000289302843157202
N,0.6495503187179565,0.058377861976623535,0.06816022075878315,0.03881597891449928,-0.002105631632730365
NSC,0.7070133090019226,1.4695155620574951,0.08474902191222417,0.9775269031524658,-0.16033723950386047
P,0.5170859694480896,0.00637959036976099,0.08728842280238883,0.004275443032383919,-0.00044433752191253006
K,0.28989696502685547,0.05060207098722458,0.1286525165274384,0.0351731963455677,-0.008090952411293983
S,0.36356228590011597,0.006795085035264492,0.14131709241469204,0.00487523153424263,-0.0006115709547884762
