,R2_mean,R2_std,RMSE_mean,RMSE_std,nRMSE_mean,nRMSE_std,MAE_mean,MAE_std,Bias_mean,Bias_std
Anth,0.5183744549751281,0.08551702903142674,0.2814887881278992,0.04445535292359685,0.13396824605536375,0.010615635470268128,0.19187056720256807,0.024684523808452933,-0.047997178556397554,0.03020599323989442
B,0.38729904890060424,0.09443767679971687,0.0002041575004113838,3.0293161955844666e-05,0.0989196161323383,0.004449930223819647,0.000122292956802994,1.1081738951109986e-05,-2.5278704379161353e-05,1.2755830311105243e-05
C,0.749403440952301,0.030560149059858176,2.2178972721099854,0.1454667473402727,0.0740103410022002,0.008625298601104324,1.2220391035079956,0.05992301043624027,-0.26257148683071135,0.03272575734647311
Ca,0.22631686925888062,0.03153816039018108,0.08930029422044754,0.006138815246785354,0.10651223513362931,0.005962296282406428,0.05381399095058441,0.0026779331334988612,-0.018674342520534994,0.006228926805065587
Car,0.515544843673706,0.058714535960287986,1.9254482746124268,0.2512529007601232,0.09916958605317958,0.019292882788354237,1.2214795112609864,0.02989985376925506,-0.08295373134315014,0.06957452990898444
Cel,0.6796876668930054,0.03673245308477952,1.057460618019104,0.08376806639246202,0.09782288478927967,0.012706248742749586,0.6405113220214844,0.041475815053030114,-0.1397511899471283,0.042408910161789354
Chl,0.6113476037979126,0.07245164552052866,9.046317291259765,1.5231168101723853,0.10279126036302388,0.027604579970144424,5.872941970825195,0.3007277091067169,-0.08731486797332763,0.537270588672468
Cu,0.5435776948928833,0.03363921207479176,2.261453810206149e-05,1.3298753125173599e-06,0.09554179364176166,0.009557135280814656,1.5649371925974263e-05,6.659686190858698e-07,-2.369225563825239e-06,1.127517942119496e-06
EWT,0.6293258666992188,0.06418436131598788,5.614744091033936,0.6979275585157726,0.09082566875855111,0.011875590273897686,3.5052836418151854,0.3705758035180943,-1.1019350171089173,0.39363938675830856
Fiber,0.7087014079093933,0.03968144770580103,2.460767650604248,0.22290061342471895,0.09644011199011997,0.009431243165719472,1.4916380643844604,0.11049405911683775,-0.29839223623275757,0.07828953341856928
LAI,0.624146330356598,0.0361721396434108,1.0055341601371766,0.048308599047663346,0.1384887402972938,0.007663909506238951,0.7038477897644043,0.03973794164397274,-0.025205475464463233,0.04408503082283464
LMA,0.7789023399353028,0.02571308456974373,31.94998550415039,1.8393616878113024,0.05891909403929292,0.00539310679701969,16.9208740234375,0.7706356051934774,-3.0601648807525637,0.915010185252676
Lignin,0.690669858455658,0.04298240053223661,1.3354696035385132,0.1259575849296106,0.101089954382608,0.007444860894170869,0.8266278266906738,0.07376457737117517,-0.21274696290493011,0.030007096882454384
Mg,0.2611704349517822,0.0622414785105767,0.013862601295113564,0.0013120553852065983,0.12381448827566674,0.011574339046420298,0.009215178713202477,0.0006495951334126198,-0.0022937402362003924,0.001060636784592793
Mn,0.3124909639358521,0.08991133115286858,0.0019087440334260464,0.00012382100861829432,0.14182054531505656,0.018784386029812885,0.0013009893242269754,8.715124286289771e-05,-0.0002845331822754815,0.00011382227728355646
N,0.6436283826828003,0.0251971803534918,0.05727246701717377,0.002864918798576348,0.07536919788220647,0.01565295776729472,0.03784447088837624,0.0015748532352537546,-0.004467017250135541,0.0025145307248370247
NSC,0.6545212984085083,0.06507186288183997,1.6618725538253785,0.15618719193101474,0.0965698433493671,0.019435708582889597,0.9857488870620728,0.0572758119262897,-0.18636083900928496,0.04293881008087472
P,0.5479020476341248,0.040854817323823574,0.006319788377732038,0.0004333122205187502,0.10081373376991791,0.009095197720719678,0.004391658864915371,0.0002385448017280214,-0.0008790322550339625,0.0005199225078578336
K,0.322602117061615,0.05709883340742941,0.05137565955519676,0.0035318313097045537,0.1262060610179557,0.008822906569256108,0.03623892739415169,0.002633142561361267,-0.008316847588866949,0.0030497935834579567
S,0.41683800220489503,0.05135434740685089,0.00693428348749876,0.00017745065459648496,0.14021231705480336,0.01353371362727451,0.004794661607593298,0.00017003987850882916,-0.0011485938332043589,0.00034380031748172874
