,R2,RMSE,nRMSE,MAE,Bias
Anth,0.5951141119003296,0.2361762970685959,0.11975867379620701,0.16562315821647644,-0.03266949951648712
B,,,,,
C,0.7847850322723389,2.0749545097351074,0.057024603100967804,1.2088288068771362,-0.2836487889289856
Ca,0.3882356286048889,0.07562674582004547,0.09261901006036923,0.04886150360107422,-0.008244466036558151
Car,0.5654499530792236,1.7741239070892334,0.12284874795962396,1.252861499786377,-0.14440813660621643
Cel,0.7016394138336182,1.0382049083709717,0.09613407221433201,0.6533316373825073,-0.22364497184753418
Chl,0.6062498092651367,9.094935417175293,0.1369852945147685,6.525872707366943,-0.8050065040588379
Cu,0.5941928625106812,2.2458370949607342e-05,0.09222920218649772,1.6522239093319513e-05,-3.6266060305933934e-06
EWT,0.5404921770095825,6.127009391784668,0.09357780341817698,3.838621139526367,-0.6247478723526001
Fiber,0.7280044555664062,2.429922103881836,0.08321101308727026,1.489747166633606,-0.4803609549999237
LAI,0.6794928312301636,0.940446138381958,0.130096104145564,0.6896570324897766,-0.04941399395465851
LMA,0.7988852858543396,30.433401107788086,0.04668435502351722,17.545869827270508,-3.341160774230957
Lignin,0.6980655193328857,1.3304462432861328,0.10273850233030966,0.842602550983429,-0.22715486586093903
Mg,0.32181835174560547,0.012576473876833916,0.12239278685652791,0.008409329690039158,-0.0011366315884515643
Mn,0.3307390809059143,0.001902890857309103,0.1262322810606926,0.001300242729485035,-0.0004144276608712971
N,0.6454771757125854,0.058127615600824356,0.09819824758109097,0.0390130914747715,-0.0075040459632873535
NSC,0.6786638498306274,1.6708333492279053,0.07778730758472488,0.9693974852561951,-0.2600863575935364
P,,,,,
K,0.3656778931617737,0.051631856709718704,0.1371540437532196,0.03742397949099541,-0.00931024644523859
S,0.4593641757965088,0.006369037088006735,0.13902263775205687,0.004871039185672998,-0.0008674339042045176
