,R2_mean,R2_std,RMSE_mean,RMSE_std,nRMSE_mean,nRMSE_std,MAE_mean,MAE_std,Bias_mean,Bias_std
Anth,0.47010143995285036,0.09402346423554948,0.29512687027454376,0.04586790235911383,0.14101441842550833,0.014936326149579267,0.20435304939746857,0.028675991953434402,-0.032555743085686116,0.033232038632688116
B,0.3570745885372162,0.09748169061536303,0.00020792468421859667,2.8847941645361617e-05,0.10319316282860531,0.009099995420548195,0.00012841479292546865,9.625752001794062e-06,-2.304329609614797e-05,5.876749390400664e-06
C,0.7024318218231201,0.049489194111732464,2.411094570159912,0.19912695841691566,0.08117960388807366,0.014291659939962753,1.404011344909668,0.11914431863736144,-0.2648122638463974,0.06723160132806578
Ca,0.22259676456451416,0.14581027893021856,0.08992952480912209,0.01492877465590681,0.10766035284438104,0.009464783772160252,0.05594215728342533,0.006546512388908393,-0.015114289242774248,0.00561758780008477
Car,0.44199681282043457,0.089819002976489,2.060434627532959,0.2706912188026747,0.10607769213589016,0.020283264773566973,1.386306929588318,0.10550863263857242,-0.04952680021524429,0.09166061926016307
Cel,0.5952667593955994,0.07812318053273402,1.1818320512771607,0.10129453719779921,0.10965255351409711,0.016808164687414376,0.7349516034126282,0.05043154607153608,-0.16438725963234901,0.06146936528856725
Chl,0.5026313781738281,0.08821765556620537,10.222844886779786,1.6244111089928135,0.11625207102969133,0.030671819607715634,6.910945320129395,0.45582146092390335,0.20664512999355794,0.592825851330643
Cu,0.517534002661705,0.0470344835164988,2.325842933714739e-05,7.356577980087437e-07,0.09894638226633605,0.009659645000913368,1.6587457139394246e-05,2.0273296703053782e-07,-2.6405557775888155e-06,7.0475156217297e-07
EWT,0.47774562835693357,0.09780170811821562,6.650005722045899,0.7585321346690268,0.10887611229796032,0.022053302722070373,4.256935071945191,0.44559391192589065,-0.7738762140274048,0.4560113983951178
Fiber,0.6266607284545899,0.06994955947591001,2.7717862129211426,0.22645124390146998,0.10981881131208418,0.018929715839940357,1.7048868417739869,0.14313331430106516,-0.42343532741069795,0.10624605363820148
LAI,0.5175603628158569,0.12557573702861682,1.1298204898834228,0.13654625569616272,0.1553081219328726,0.016385818552072887,0.8058238744735717,0.07970370736489707,-0.03895742297172546,0.04003044427151686
LMA,0.7207796335220337,0.04911212739622763,35.83019523620605,3.314736481085611,0.06677473828559052,0.011839843738543507,20.37258644104004,1.90346215873452,-2.9709815859794615,1.1816620882050348
Lignin,0.5914545059204102,0.09711436143963112,1.5251935243606567,0.18109123551365955,0.11580046743768266,0.015478789244614204,0.9564303040504456,0.10785168224598699,-0.2501987338066101,0.054154455447960395
Mg,0.17486229538917542,0.2066437753296547,0.014698866987600923,0.0024929360801748015,0.12820990937570934,0.007641194962185612,0.009754239115864038,0.001148127497255962,-0.002104830142343417,0.0007572114673484546
Mn,0.338233745098114,0.0786658997213862,0.0018748750677332281,0.00013842769019868257,0.1390763076095158,0.01710538627642095,0.0012962386710569263,9.73993667928038e-05,-0.0003191302734194323,0.00010690830113712149
N,0.5720138907432556,0.04810601206948552,0.06260928884148598,0.0024505283948402902,0.08156161400671688,0.010894605601470726,0.04264000728726387,0.0018948220888801138,-0.004490448557771742,0.0020785218767984
NSC,0.59732666015625,0.06700378987544196,1.7938194036483766,0.12692746724193307,0.10439347024951637,0.019176565321620827,1.0792258858680726,0.08805344783586608,-0.2222573310136795,0.04374742759604123
P,0.5215737819671631,0.06269921339771585,0.006347674566010634,0.0003796950854760384,0.09748381289610915,0.0053317574678936296,0.004481753179182609,0.0001319618475955207,-0.0010458152974024415,0.00022762761043457872
K,0.2615162253379822,0.08621245412368442,0.053443674743175504,0.0018105584144144078,0.13173015891461665,0.011595271309070994,0.03768763914704323,0.001244253300347544,-0.00779376660939306,0.003468174206817276
S,0.4337077379226685,0.07955123583610402,0.0068457179702818395,0.0006819363375894566,0.13760664354120813,0.010587009050694837,0.0049183395691215995,0.0002196232215733318,-0.0010459485463798046,0.0001951329866929004
