,R2,RMSE,nRMSE,MAE,Bias
Anth,0.5748281478881836,0.2625104486942291,0.1211097014046235,0.1793431043624878,-0.060524776577949524
B,0.43098264932632446,0.000202610477572307,0.09259889888650033,0.00012094242993043736,-3.573992944438942e-05
C,0.7680217623710632,2.131220579147339,0.07721863213753785,1.19312584400177,-0.22012101113796234
Ca,0.2714819312095642,0.09694483876228333,0.09817636663096868,0.05223620682954788,-0.02158612571656704
Car,0.5803685188293457,1.6443842649459839,0.09996385122165218,1.1176608800888062,-0.19586406648159027
Cel,0.7437546253204346,0.8965457081794739,0.08854743235457316,0.568392276763916,-0.1371680051088333
Chl,0.6360673904418945,8.357340812683105,0.12967982295854144,5.795310974121094,-1.2146639823913574
Cu,0.6001010537147522,2.0936022337991744e-05,0.08600330105861391,1.4323089089884888e-05,-2.1342777927202405e-06
EWT,0.7028228044509888,4.924177169799805,0.09115255442047099,3.241448402404785,-0.8777675628662109
Fiber,0.7458995580673218,2.171400547027588,0.1001513082429409,1.342337727546692,-0.21512764692306519
LAI,0.6654062867164612,0.9348806142807007,0.12290279931415687,0.6529208421707153,0.08340045064687729
LMA,0.795402467250824,30.98604393005371,0.061576553215726956,16.82185173034668,-3.0359299182891846
Lignin,0.701232373714447,1.2574445009231567,0.10309112637157934,0.751848042011261,-0.11883025616407394
Mg,0.2514417767524719,0.015065555460751057,0.10663001416625693,0.00941223744302988,-0.002889223862439394
Mn,0.44140762090682983,0.0018552184337750077,0.1289647741653215,0.0012493073008954525,-0.00035863640368916094
N,0.6793150901794434,0.052435100078582764,0.07229658764609875,0.035726308822631836,-0.006433159578591585
NSC,0.6922922730445862,1.6091887950897217,0.09089585020772879,0.952353298664093,-0.15735286474227905
P,0.604184627532959,0.0067235869355499744,0.0990149533855686,0.004395142663270235,-0.0014564390294253826
K,0.39704108238220215,0.04381478577852249,0.12635582732765524,0.031911782920360565,-0.0030195314902812243
S,0.42183661460876465,0.006757656577974558,0.1545729551573496,0.004749481566250324,-0.0013069177512079477
