,R2_mean,R2_std,RMSE_mean,RMSE_std,nRMSE_mean,nRMSE_std,MAE_mean,MAE_std,Bias_mean,Bias_std
Anth,0.6015849232673645,0.06036878783787814,0.2568372070789337,0.04248212985067061,0.12218896187340392,0.009898568232068874,0.1691680818796158,0.01858039608521125,-0.04392522750422358,0.022304455431028963
B,0.44254426956176757,0.08443068896316222,0.0001947447366546756,2.867991067109049e-05,0.09440896626594304,0.004443960490907473,0.00011521692795213312,1.0015554947607248e-05,-2.2105830248619894e-05,9.568054651032271e-06
C,0.7451447606086731,0.04371124834882129,2.2327543258666993,0.18302447354389492,0.07482392188210774,0.011667099905523745,1.1946919918060304,0.05318055740431766,-0.20507531762123107,0.02570342908404048
Ca,0.2919567942619324,0.022201157543164842,0.08545026332139968,0.006116736726527393,0.10184493811253563,0.0042911333437944555,0.0502561256289482,0.002384298103582851,-0.01732488162815569,0.004584440447882532
Car,0.5689611196517944,0.07414184563818928,1.8153212070465088,0.2785240680218082,0.09307230210427256,0.017854861144773786,1.0991916418075562,0.054184041771513335,-0.07983633121475577,0.08484412564902759
Cel,0.724507474899292,0.042892362231747264,0.9789597153663635,0.08893290799880209,0.09039595653646249,0.011382999054608345,0.6032143592834472,0.025478874981968148,-0.1383216679096222,0.044797419462176045
Chl,0.6097091317176819,0.07081680146585816,9.06457748413086,1.5049130157731414,0.10372955468446506,0.030690627510637752,5.60330228805542,0.36536544531252674,-0.11040088832378388,0.660225981800895
Cu,0.5608108758926391,0.05096853160707858,2.2137497944640926e-05,1.1426396108880793e-06,0.0938210233778066,0.012156740743072398,1.5142312440730165e-05,7.096201648042429e-07,-1.7449394135837793e-06,8.675998643809221e-07
EWT,0.6604826927185059,0.06869247038425527,5.368686294555664,0.7711061050056827,0.08696927974704304,0.014060612013987695,3.3769134044647218,0.39182079598680825,-0.8969170570373535,0.3476540820467748
Fiber,0.7449604392051696,0.04553161406916419,2.297088050842285,0.23593949690376073,0.0903666150686799,0.012162511781169226,1.3927286624908448,0.09092940491607365,-0.27088111340999604,0.05443968355999233
LAI,0.7006528973579407,0.04453629445679144,0.8960235476493835,0.07110115929572607,0.12327811691943953,0.00871676025250016,0.6310290336608887,0.04290725694670323,0.009086853452026844,0.05604919954195928
LMA,0.7790035009384155,0.02556076872104318,31.94872627258301,1.8477185831471614,0.05923888286836844,0.008124718197792008,16.711401748657227,0.35376306348978637,-2.3042218327522277,0.977807799633926
Lignin,0.7048248767852783,0.053060936180008574,1.3028473854064941,0.1472586753208921,0.09845796122545439,0.007485394747342037,0.7826871275901794,0.07054334366706845,-0.1811138793826103,0.032412876039794446
Mg,0.3224357604980469,0.04382976414802087,0.013259113766252984,0.0009455225889871186,0.11844078353791399,0.00812482224488236,0.008680849708616732,0.0004376538979418399,-0.002134247962385402,0.0008604736612496843
Mn,0.4009660482406616,0.0501158734683869,0.0017835135338827898,6.280947426348328e-05,0.13231509346790277,0.014216613112254747,0.0012017463101074086,6.819590719639104e-05,-0.0002705464925384047,8.079966548822611e-05
N,0.6487247467041015,0.03588416130468698,0.05682849958539007,0.0035888344795926824,0.07421753347375201,0.012080516329531324,0.037207446992397294,0.0018071245560829293,-0.004225794330704957,0.0025946392741180296
NSC,0.6479385137557984,0.09313259599554408,1.6665826559066772,0.15693768821887302,0.09805093639655979,0.025966545063410628,0.9371941804885864,0.06178771881552758,-0.12617867141962053,0.026015358855053346
P,0.5920059680938721,0.054947348220069775,0.0060018241405486875,0.0005385348603522964,0.09560333775778591,0.008492369149267475,0.004124505072832088,0.00023462672651949453,-0.000943659368203944,0.0003632419514288093
K,0.38898693323135375,0.01704734353477855,0.048874209076166145,0.0035143979855820936,0.12021364174679976,0.010459406651658116,0.034151104837656,0.001723243721360669,-0.007957021566107864,0.003027168575604286
S,0.4577556371688843,0.045043238072437514,0.006689852941781279,0.0002419890207400795,0.13512821994166704,0.011921385318924458,0.004652965813875183,9.993097394006709e-05,-0.0012954666279256166,0.0002749350577383435
