,R2,RMSE,nRMSE,MAE,Bias
Anth,0.721421480178833,0.18885812163352966,0.10678903376170545,0.12967780232429504,-0.015528688207268715
B,0.3742446303367615,0.00022044604702387005,0.09765764687631928,0.00012166851956862956,-3.1548577680950984e-05
C,0.6996253728866577,2.4365265369415283,0.08749801536528512,1.2860331535339355,-0.15831220149993896
Ca,0.2913733720779419,0.08603435009717941,0.10937401611705869,0.051304325461387634,-0.015665635466575623
Car,0.6096802353858948,1.7911889553070068,0.09193767722327714,1.0957809686660767,0.1107063814997673
Cel,0.6570778489112854,1.115420937538147,0.10820112441490302,0.6629075407981873,-0.10227735340595245
Chl,0.6415610313415527,8.289772987365723,0.09185966044401264,5.420736312866211,1.2047512531280518
Cu,0.5364736318588257,2.2145541151985526e-05,0.10850439359980721,1.555851849843748e-05,-2.3287245767278364e-06
EWT,0.6359596848487854,6.226143836975098,0.07744592604500876,3.7449395656585693,-0.97927325963974
Fiber,0.6542468070983887,2.7953429222106934,0.10384148700391399,1.6197198629379272,-0.1820334941148758
LAI,0.6583278179168701,0.9744284152984619,0.13354756235978818,0.6744838356971741,0.02840738743543625
LMA,0.7511837482452393,34.08719253540039,0.06799077594715686,17.074504852294922,-1.4194258451461792
Lignin,0.6146469116210938,1.575685977935791,0.10843211914977509,0.9211037755012512,-0.18587344884872437
Mg,0.41587531566619873,0.01293177343904972,0.1261811903161841,0.008791732601821423,-0.0034786721225827932
Mn,0.2975589632987976,0.001837275573052466,0.15781895192567383,0.0012661555083468556,-0.0002010424213949591
N,0.6328972578048706,0.05946093052625656,0.07137408486542014,0.039648767560720444,0.0007252589566633105
NSC,0.5720199346542358,1.7687286138534546,0.13368341098540792,0.9707263112068176,-0.22081053256988525
P,0.6517814993858337,0.005490605253726244,0.09382739118427873,0.003910752944648266,-0.0006949930102564394
K,0.5431560277938843,0.047650840133428574,0.10236642224973654,0.03369232267141342,-0.0014095240039750934
S,0.5480071902275085,0.0066628349013626575,0.11770745536021898,0.004653191193938255,-0.0006337527302093804
