,R2_mean,R2_std,RMSE_mean,RMSE_std,nRMSE_mean,nRMSE_std,MAE_mean,MAE_std,Bias_mean,Bias_std
Anth,0.5871192216873169,0.07368157851283251,0.26124240159988404,0.0457393701767851,0.12410610260191306,0.011227323979899428,0.16678613126277925,0.022632628149598065,-0.05849538557231426,0.02768090527753734
B,0.5177605748176575,0.085037381883371,0.0001809315726859495,2.7678111382702234e-05,0.08793689966415684,0.007562862684497215,0.0001124162707128562,8.507700420199992e-06,-1.6278648217848968e-05,9.37716609523648e-06
C,0.6281888008117675,0.27691357269200856,2.5597018003463745,0.8425909766656866,0.08467382172679551,0.024811661605234323,1.2127307176589965,0.10936430444476916,-0.21900691390037536,0.10540990042789536
Ca,0.32701624631881715,0.02046056909855886,0.08329847157001495,0.0057448760521374275,0.09942443012884024,0.006644863990943406,0.04961577579379082,0.0028071935086028694,-0.01275009596720338,0.004928367924521633
Car,0.5868167638778686,0.06181527125510141,1.7780993938446046,0.25568825126979644,0.09128364551305901,0.017292645945848957,1.0995550394058227,0.0371316884233709,-0.04674132950603962,0.09443998472730473
Cel,0.7243115782737732,0.07128083677783159,0.9752718925476074,0.14395196696740112,0.08982714369649206,0.014474185842593093,0.6076475620269776,0.06483331658441496,-0.14625130146741866,0.049235589388645036
Chl,0.6071985602378845,0.07236234860893663,9.096124935150147,1.5323857861770882,0.1036359553181407,0.029087980609077704,5.720534038543701,0.35201535415995383,-0.1233600378036499,0.6696861711585769
Cu,0.5759257078170776,0.028925531091089654,2.1778423251817004e-05,7.257905452667652e-07,0.09202074289855819,0.008440700873539493,1.5262772285495886e-05,5.336223088144522e-07,-2.4535811689929687e-06,8.97876238522213e-07
EWT,0.6481059670448304,0.02299585842700918,5.479352283477783,0.4033537441386139,0.08876561374168587,0.008879498600870587,3.383140134811401,0.1925689356695507,-0.6051524877548218,0.2960714527031046
Fiber,0.7443381309509277,0.0607563676978179,2.2975112438201903,0.33171881672337966,0.09016456490875477,0.014503006872842629,1.4184842348098754,0.13765196898476936,-0.35499882996082305,0.16698309249614635
LAI,0.7024051547050476,0.04844976567647267,0.8930158019065857,0.07972431726419385,0.12289323492670504,0.01040497404870709,0.6282384991645813,0.0458836609769651,-0.017397451400756835,0.04934838780232343
LMA,0.766685402393341,0.0631388759310946,32.58603515625,4.196675462748003,0.06019830486702389,0.008981605496832114,16.58609790802002,0.7132758553955935,-2.5918694138526917,1.5496954892453403
Lignin,0.7159314393997193,0.0693462448788218,1.2760321855545045,0.19473414954879592,0.09628718002546857,0.011453356581104534,0.7872603297233581,0.08162674455568497,-0.22067186683416368,0.08717007995793316
Mg,0.3764684319496155,0.057860107171854615,0.012729273550212384,0.0011912477745451024,0.1135076315454572,0.007875017098763646,0.00858039753511548,0.0007839102005640019,-0.0024159347172826528,0.0007535742157194456
Mn,0.40777626633644104,0.07199588176729302,0.0017659148143138736,5.054018737096734e-05,0.13468544943722996,0.01542620017147333,0.0011967183381784707,5.6090501045070505e-05,-0.000373835297068581,0.00010553864171005631
N,0.6690082550048828,0.03016561179704525,0.05476923659443855,0.0028473436798188536,0.07330473073002738,0.010694541649307263,0.036592667922377586,0.0018265039062596593,-0.0025869788441923447,0.0028796110928666213
NSC,0.6948200464248657,0.0622463463416861,1.5601508378982545,0.12560063393664142,0.09135790975247485,0.02168291980839565,0.906351363658905,0.03378368409123815,-0.2782558411359787,0.043101403652094694
P,0.5662745475769043,0.08427910745908937,0.00616899998858571,0.0006374555931530022,0.09780943500118136,0.004283978050466015,0.0041762242093682286,0.00024385678238007883,-0.0005277582749840803,0.00038123908578828675
K,0.42010977268218996,0.06654018409442394,0.04739197045564651,0.0024244840926888425,0.1170608055395598,0.013489800923561113,0.032941336184740065,0.001713719783708144,-0.0036944647144991904,0.0030343349778604437
S,0.4712965965270996,0.06463563841656514,0.006592150684446097,0.0001739844455566516,0.13324828332750432,0.01218219797695526,0.00461963340640068,9.742966093866035e-05,-0.0008896202896721661,0.00037013250713532593
