,R2,RMSE,nRMSE,MAE,Bias
Anth,0.5914297103881836,0.23724845051765442,0.1203023340904828,0.17597530782222748,-0.03525479882955551
B,0.4815838932991028,0.00019034233991988003,0.08657727298480979,0.00011455220374045894,-1.619695649424102e-05
C,0.766446590423584,2.161550760269165,0.05940447060821596,1.1738991737365723,-0.2050754725933075
Ca,0.30915307998657227,0.0803663432598114,0.09842352826614169,0.0490761436522007,-0.01037441473454237
Car,0.6398357152938843,1.615155577659607,0.11184102738406193,1.174715280532837,-0.0731363594532013
Cel,0.7291841506958008,0.9891209006309509,0.09158906813411442,0.6335397958755493,-0.21562515199184418
Chl,0.6526355147361755,8.542439460754395,0.12866375974437194,6.250522613525391,-0.3278941214084625
Cu,0.5324238538742065,2.410707929811906e-05,0.09899990946364831,1.726557638903614e-05,-2.7493410925671924e-06
EWT,0.5928608775138855,5.767313003540039,0.08808416112761411,3.5571680068969727,-0.8064829707145691
Fiber,0.7681781649589539,2.2433066368103027,0.07682049462251395,1.4181815385818481,-0.4108230769634247
LAI,0.7245743870735168,0.8718006610870361,0.12060006944585532,0.6290329098701477,-0.07032163441181183
LMA,0.7864198088645935,31.362384796142578,0.04810940127991803,17.089136123657227,-1.635183572769165
Lignin,0.7436715960502625,1.2258557081222534,0.09466190773290467,0.7867763638496399,-0.2262573540210724
Mg,0.4288029670715332,0.011541941203176975,0.11232483472121255,0.00807336438447237,-0.0010297226253896952
Mn,0.40805912017822266,0.0017895973287522793,0.11871671573848269,0.0011791629949584603,-0.0004860936023760587
N,0.6366125345230103,0.05884985625743866,0.09941836930943407,0.040353935211896896,-0.0037642403040081263
NSC,0.7023897171020508,1.607967495918274,0.07486052528759618,0.8782873749732971,-0.19544515013694763
P,0.5475030541419983,0.005919428542256355,0.11353080312216327,0.00425130408257246,-3.2599007681710646e-05
K,0.34974491596221924,0.052276283502578735,0.13886588884607745,0.036343928426504135,-0.009148145094513893
S,0.425473153591156,0.0065656318329274654,0.14331388611965373,0.004763510078191757,-0.0012237285263836384
