,R2_mean,R2_std,RMSE_mean,RMSE_std,nRMSE_mean,nRMSE_std,MAE_mean,MAE_std,Bias_mean,Bias_std
Anth,0.541219162940979,0.05523849578303889,0.2749091565608978,0.036260763357135364,0.1312054548787686,0.006800637129296402,0.18950150907039642,0.015764016660138543,-0.04054454658180475,0.02908091372009006
B,0.3968693494796753,0.07933379423692921,0.00020204100874252618,2.4106108740091315e-05,0.09875796285760038,0.009451312972291804,0.00012001200520899147,8.255615368775462e-06,-2.1378355449996887e-05,6.7661644276047785e-06
C,0.7266378998756409,0.038433765069165314,2.313836622238159,0.15450570368732572,0.07746023925024972,0.010723242030880133,1.2634428977966308,0.06832075343670724,-0.2270006239414215,0.0814242697772795
Ca,0.2541300177574158,0.04308526516351213,0.08759471178054809,0.005248397987568404,0.10467100661455098,0.007921947426998636,0.05225381106138229,0.002380995656823694,-0.017653219029307367,0.005832335343127007
Car,0.5345791697502136,0.08874637824279333,1.8845352411270142,0.3024362231476324,0.09631094294181039,0.017082378527221498,1.2168586254119873,0.09087968634713776,-0.06782356426119804,0.07445984339474779
Cel,0.6987880229949951,0.03605201787831311,1.0251757979393006,0.08049161128123564,0.09486363396058504,0.01268759989746452,0.6326312065124512,0.03977762911693491,-0.1396200343966484,0.0469449208137563
Chl,0.600799834728241,0.06471652224902562,9.161678886413574,1.3862189941923986,0.10441767491425118,0.02777788527197698,6.102942848205567,0.3171990216319166,0.1472343211993575,0.6021346839793448
Cu,0.5221511721611023,0.043308195707974256,2.3113138377084395e-05,1.0973599664895468e-06,0.09780828110784208,0.011147235454173381,1.59838094987208e-05,1.018959069739895e-06,-2.0422488887561484e-06,7.468842115358905e-07
EWT,0.6174625515937805,0.043494343353197955,5.716004753112793,0.6029383020420032,0.09261477604617623,0.011841192901133417,3.6343138217926025,0.361338184349654,-0.9411299884319305,0.46300387098244894
Fiber,0.728838574886322,0.04087602017913664,2.3717309474945067,0.21555250811126347,0.09304280962406382,0.009859288719880755,1.456814742088318,0.12063170595958828,-0.3258338510990143,0.08663611330833419
LAI,0.6497160792350769,0.05202565858907299,0.9696680665016174,0.07867780721008577,0.1333960799818203,0.00953634254016605,0.6914958238601685,0.04811566405345355,-0.02315135495737195,0.03973608321818501
LMA,0.767928171157837,0.02187986222354123,32.752689361572266,1.5782293880947216,0.06063784591045551,0.007265783945830966,17.736591720581053,0.60420378626258,-2.616910982131958,0.7543418670718279
Lignin,0.6971183657646179,0.037855381457418624,1.3219879627227784,0.1179703017923972,0.10001739350649919,0.006064196727671752,0.8099753856658936,0.070166852081414,-0.21513560116291047,0.04598006402280629
Mg,0.31946438550949097,0.05552475153318657,0.013294612243771552,0.0011261561922557845,0.11895043746910205,0.012372609998224664,0.008837169781327248,0.0007150796578131098,-0.002166437637060881,0.0006418185391753056
Mn,0.391962456703186,0.06258831561017082,0.001796211302280426,7.920685520053405e-05,0.13336722718857713,0.015908462514549287,0.0012183102779090404,8.184469375191008e-05,-0.0003456284903222695,0.0001000670371904992
N,0.6289239764213562,0.03867869324288289,0.05842265114188194,0.004045219175978804,0.07653792202127081,0.013737529799460042,0.03978385254740715,0.0018477536405328782,-0.00182961763930507,0.001967809013859563
NSC,0.6448559641838074,0.0924359940159464,1.6710147619247437,0.16569118588602014,0.09810703828001378,0.02439774983269487,0.9538732886314392,0.08641663192641015,-0.17606673538684844,0.039965844249628894
P,0.5152571797370911,0.023293159901868997,0.006291058224936326,0.00026318000550577884,0.10087071287768745,0.01026967365360725,0.004397267165283362,0.0001032849784384782,-0.0005070494698884431,0.0003581599101647483
K,0.3573369860649109,0.022187757529719354,0.050138358026742935,0.0038467206576461095,0.1232861762233779,0.010788621263648088,0.035055048391222955,0.002764598420022039,-0.0070148288737982515,0.002650919467901237
S,0.429277241230011,0.04845943338152464,0.006833791111906369,0.0005434678454227155,0.14179062359669686,0.003504307500931584,0.004794697742909193,0.00020595594938462524,-0.0011605756590142846,0.0003340384842611338
