,R2,RMSE,nRMSE,MAE,Bias
Anth,-0.0499415397644043,0.38032296299934387,0.1928515868373383,0.3068510591983795,-0.08294688165187836
B,-0.009142756462097168,0.00026556599186733365,0.12079277465569581,0.0001672486832831055,-2.527828655729536e-05
C,-0.031734347343444824,4.5431413650512695,0.12485615080145115,2.673542022705078,-0.7967814207077026
Ca,-0.013446688652038574,0.09733829647302628,0.11920884023949138,0.06223425269126892,-0.011212225072085857
Car,-0.0033932924270629883,2.6958742141723633,0.18667510794726713,2.0766353607177734,-0.15684610605239868
Cel,-0.08105778694152832,1.976226806640625,0.18299155495188998,1.2452034950256348,-0.5411399006843567
Chl,-0.02412998676300049,14.667859077453613,0.2209230636021544,12.435380935668945,2.2513742446899414
Cu,-0.01073598861694336,3.5443557862890884e-05,0.14555512827178355,2.511633647372946e-05,-3.6527496831695316e-06
EWT,-0.08225178718566895,9.402996063232422,0.14361194195766622,6.00372838973999,-2.592240333557129
Fiber,-0.0677180290222168,4.81437349319458,0.1648649127925717,2.9833638668060303,-1.2124474048614502
LAI,-0.004412531852722168,1.6648346185684204,0.23030398986491568,1.3750327825546265,-0.11056914180517197
LMA,-0.006185293197631836,68.07185363769531,0.10442114475065455,40.501861572265625,-5.337521553039551
Lignin,-0.07624900341033936,2.511871099472046,0.19396941147290328,1.6266893148422241,-0.668587863445282
Mg,-0.03482925891876221,0.015535320155322552,0.15118793607330172,0.010284417308866978,-0.002850147895514965
Mn,-0.03644251823425293,0.002368038520216942,0.1570888329713673,0.0017118918476626277,-0.00044403737410902977
N,-0.004419445991516113,0.09784035384654999,0.16528720800150637,0.06988255679607391,-0.006492007058113813
NSC,-0.04224717617034912,3.0091140270233154,0.14009229495313658,1.787317156791687,-0.6058294773101807
P,-0.015773653984069824,0.008868913166224957,0.1701000066804491,0.006143799051642418,-0.001105177216231823
K,-0.09069466590881348,0.06770401448011398,0.17984786827405103,0.04829471930861473,-0.019523276016116142
S,-0.06072700023651123,0.008921198546886444,0.19473093605208078,0.006390672642737627,-0.002134587150067091
