,R2_mean,R2_std,RMSE_mean,RMSE_std,nRMSE_mean,nRMSE_std,MAE_mean,MAE_std,Bias_mean,Bias_std
Anth,-0.04952330589294433,0.046510753725454886,0.41523338556289674,0.0396859677598747,0.19883839150993696,0.004652275006837038,0.3215970516204834,0.020041346311034214,-0.07541161593107973,0.050243677006051
B,-0.01264345645904541,0.007511292616628721,0.00026179246779065577,2.0726563202648443e-05,0.12868890737537644,0.014695006480197916,0.0001606746984180063,6.993037712173602e-06,-2.860999884433113e-05,9.628607131157718e-06
C,-0.03337018489837647,0.011137379492407345,4.5108057975769045,0.026103599526639296,0.1507402085210036,0.016445157945306703,2.702034854888916,0.07350429316670508,-0.7961938500404357,0.14710726506841806
Ca,-0.05196037292480469,0.026127614420167977,0.10418250411748886,0.007625261963104822,0.1242399982919028,0.007085308285400019,0.062409503012895585,0.0034645488446866666,-0.022475177235901356,0.00737593683670454
Car,-0.002736830711364746,0.0015974839913094451,2.7647751808166503,0.2013761812838251,0.14480698231287048,0.03381158409065153,2.0436190605163573,0.059494478435573706,-0.025724604725837708,0.14770454084100276
Cel,-0.06216394901275635,0.01704001825901322,1.9268399238586427,0.06276396257025657,0.179317081192858,0.02675506446987575,1.2187404870986938,0.04134298614840712,-0.46289058923721316,0.07149226182124666
Chl,-0.040081572532653806,0.018244651697762956,14.766464042663575,1.1317198454793915,0.17281234472923218,0.05303787206338319,12.027134132385253,0.3213607773866202,2.841568851470947,0.7112315153971733
Cu,-0.009493160247802734,0.005905386385300063,3.363578143762424e-05,9.980173178124203e-07,0.1419617117532977,0.010561255995427494,2.3922287073219196e-05,8.698448713437116e-07,-3.1233352274284697e-06,9.085694182269933e-07
EWT,-0.09184601306915283,0.03640889978132469,9.661240768432616,0.7382055485142943,0.15661686923849832,0.016861620345393118,6.082303142547607,0.3808338118053621,-2.7813883304595945,0.7072743614258045
Fiber,-0.05399584770202637,0.015692451685038848,4.687000560760498,0.18680431517765553,0.18450204397640171,0.020524983829295445,2.9822723388671877,0.12926930887012805,-1.0541797995567321,0.18698989295904722
LAI,-0.003046083450317383,0.003208873600012814,1.6450923681259155,0.029068957051497382,0.22656558664114085,0.007017516863172492,1.356970977783203,0.03175540370437735,-0.0766077145934105,0.05016968386764301
LMA,-0.012523341178894042,0.005347213655259913,68.4854232788086,0.47498119117607834,0.12673096574387116,0.01351686910998806,40.91905288696289,0.9118029401794613,-7.444106101989746,1.672815351774324
Lignin,-0.054648971557617186,0.015584759128296096,2.4686574935913086,0.09897847480240611,0.18715022665273842,0.008142222322798867,1.6158846855163573,0.08227923362795221,-0.5582352995872497,0.09518601833522786
Mg,-0.03741157054901123,0.01822187695402357,0.0164151506498456,0.0010410279376812687,0.14702752599849614,0.014176971040563407,0.010779047757387162,0.0006693410680436034,-0.0030475038103759287,0.0009652360955918292
Mn,-0.027166318893432618,0.00941686499749352,0.0023403069470077755,0.00010571817172629026,0.17312762359855186,0.013730173722525187,0.00170679222792387,3.0387541796560702e-05,-0.00037344302982091906,7.523154172574251e-05
N,-0.00355837345123291,0.002327309410313889,0.09614277631044388,0.0026921687906248048,0.12586232207847586,0.021310292973013865,0.0669804185628891,0.0021981181687354156,-0.00492619356373325,0.0029711182008339996
NSC,-0.04695098400115967,0.01917357991289103,2.9074478149414062,0.08945114657656647,0.16818241970144115,0.023450990254124573,1.8267131328582764,0.05530475398909371,-0.596465665102005,0.11521030336301759
P,-0.03708541393280029,0.020131706408560046,0.009596646949648856,0.0007453849994114511,0.15323692100816494,0.01579665137092256,0.0064275627955794334,0.00038065674020447177,-0.0017699555726721882,0.0006079257613616536
K,-0.07531397342681885,0.027284484390783646,0.06486175432801247,0.004965653204807767,0.1594764524957027,0.013785610300447807,0.04449900016188622,0.002689580727125123,-0.01687100064009428,0.0033209417137327743
S,-0.040236687660217284,0.015250805979961344,0.009292346239089967,0.0005524992855313948,0.18715835733469516,0.012194447126589745,0.0062966602854430676,0.0003129618523495963,-0.0017902533989399671,0.00037324574747818056
