,R2,RMSE,nRMSE,MAE,Bias
Anth,0.6877561807632446,0.20740391314029694,0.10516896863113877,0.15125468373298645,-0.005736109800636768
B,0.4863296151161194,0.0001894691085908562,0.08618008344104561,0.00012081482418579981,-1.967661955859512e-05
C,0.7774774432182312,2.1098878383636475,0.05798465267829202,1.1554630994796753,-0.2228517085313797
Ca,0.2570660710334778,0.08334093540906906,0.10206646936072686,0.049471039324998856,-0.011147537268698215
Car,0.7107745409011841,1.447379231452942,0.10022339798040579,1.020756721496582,-0.036913882941007614
Cel,0.7269953489303589,0.9931100010871887,0.09195844461099115,0.6458801031112671,-0.22301501035690308
Chl,0.6939650774002075,8.018159866333008,0.12076721168155981,5.748434066772461,-0.11113723367452621
Cu,0.5544447898864746,2.3532562408945523e-05,0.0966405560425993,1.678479566180613e-05,-2.8380438834574306e-06
EWT,0.6117528676986694,5.631916522979736,0.0860162509235962,3.366035223007202,-1.1747817993164062
Fiber,0.7457445859909058,2.349343776702881,0.08045166363045968,1.439270257949829,-0.35833844542503357
LAI,0.7985560297966003,0.7455765008926392,0.10313891901932531,0.5421738624572754,0.029501870274543762
LMA,0.7926003336906433,30.905275344848633,0.04740820262541238,16.378398895263672,-1.231866478919983
Lignin,0.7353445887565613,1.2456079721450806,0.09618719899031451,0.7853277921676636,-0.15772059559822083
Mg,0.34545236825942993,0.012355390936136246,0.12024123328885682,0.007973741739988327,-0.0015761622926220298
Mn,0.3795473575592041,0.0018321898533031344,0.12154218074586154,0.001210609800182283,-0.0003568377869669348
N,0.6559879183769226,0.057259466499090195,0.09673163451691802,0.038319140672683716,-0.006462432909756899
NSC,0.7006155848503113,1.61275315284729,0.07508332630345116,0.9239566922187805,-0.14523088932037354
P,0.5925425887107849,0.0056171114556491375,0.10773255732950654,0.0040452564135193825,-0.0007150938617996871
K,0.3509994149208069,0.052225831896066666,0.13873187000019555,0.037025801837444305,-0.012358170002698898
S,0.4818570017814636,0.006235139444470406,0.13609993478518956,0.00462673744186759,-0.0017497400986030698
