,R2_mean,R2_std,RMSE_mean,RMSE_std,nRMSE_mean,nRMSE_std,MAE_mean,MAE_std,Bias_mean,Bias_std
Anth,0.6175031423568725,0.06403508405278643,0.25160454511642455,0.04320736146808819,0.11961776459353665,0.010214208547053549,0.165835902094841,0.016985110557354802,-0.03386800326406956,0.031381796612733694
B,0.433687424659729,0.10659158171174546,0.00019613595504779368,3.188071786846246e-05,0.09483581929603471,0.005030503197609044,0.00011948533792747185,1.1404956500743273e-05,-2.0839641820202814e-05,9.08648005193225e-06
C,0.7513445019721985,0.050296760478493546,2.2024749279022218,0.21648968007240632,0.0739310123974656,0.012915583240286618,1.2112468242645265,0.08167659751951195,-0.19110796004533767,0.05178981620286957
Ca,0.28537118434906006,0.030430418551746476,0.08585526198148727,0.006513681803542233,0.10226634424750598,0.003504610021397381,0.05048613399267197,0.001313542517247164,-0.016151794977486134,0.0045117402732091135
Car,0.5928879737854004,0.08967586407244679,1.7607359647750855,0.305177249052435,0.08947181549483889,0.014035119464643652,1.1080100059509277,0.0698016255401485,-0.055218286067247394,0.0692193287149712
Cel,0.6952523231506348,0.05350195846416615,1.0286678075790405,0.10217565235813515,0.09508643282310736,0.013213488854992048,0.6378961563110351,0.05038711460289218,-0.14563921391963958,0.040688363482189314
Chl,0.6272187471389771,0.071845231238966,8.852316284179688,1.4879009628197555,0.10037790199623431,0.02617879002523212,5.716609477996826,0.31870747825256096,0.06992277652025222,0.46284171275735053
Cu,0.5537595152854919,0.045785739290135186,2.232654733234085e-05,1.1489914210987213e-06,0.09454973755536598,0.011469733696535252,1.566718619869789e-05,7.465174941784648e-07,-2.063584611278202e-06,5.846585146010271e-07
EWT,0.6512269020080567,0.05202407264377848,5.449470043182373,0.6231779901677125,0.0884516793890284,0.01319418204645417,3.396629047393799,0.3820517534043843,-0.8936690568923951,0.4373422556057582
Fiber,0.7300525665283203,0.04913454103651145,2.3637258529663088,0.24903513641133332,0.09286879554680268,0.012118190459683228,1.4553277969360352,0.13696042794638932,-0.2816086560487747,0.058051485952240654
LAI,0.7103468298912048,0.04944731364766234,0.8804240942001342,0.08056573510166835,0.12112564908511736,0.010123202295472093,0.6184188246726989,0.047252205142088874,0.019845805875957013,0.011734867106193083
LMA,0.7848144769668579,0.0269818876127328,31.518750381469726,2.0643799152064757,0.05844612740189399,0.008272726713890037,16.894140625,0.8452543672007908,-2.010887789726257,0.5877767419839929
Lignin,0.7004567980766296,0.04803284781702329,1.3125558614730835,0.12901985602089047,0.09938837264558123,0.008315650001120799,0.802962601184845,0.07566863035906368,-0.18756708800792693,0.03205447771944354
Mg,0.32814457416534426,0.06551141242070156,0.013206606730818748,0.0012027690984798727,0.1177010066716426,0.00659090732577642,0.008765630424022675,0.0007598497312730573,-0.0019861813401803375,0.0008673771333856713
Mn,0.3976769924163818,0.06337904951982257,0.001787987188436091,8.979449805813448e-05,0.13262236006559164,0.015029470647497269,0.0012189526576548814,6.293480984828246e-05,-0.00026385345263406633,0.00010010040469295487
N,0.6469355821609497,0.025409419998715193,0.0570019468665123,0.002846446486178473,0.07463987654046907,0.01284014725624795,0.03792746663093567,0.0021320359717358875,-0.005238947551697492,0.0019880155800896158
NSC,0.6608760118484497,0.08310254823966078,1.6378252983093262,0.14590522083083327,0.0962391239376719,0.02458428154023445,0.9690224051475524,0.08068604052939775,-0.12440229952335358,0.026598829317416372
P,0.5811738491058349,0.010807769602000344,0.006096848193556071,0.000453996026514997,0.09725594782947336,0.00893194440081621,0.0042167755775153635,0.00022829151090637787,-0.0009186189156025649,0.0002685426495794789
K,0.3296297311782837,0.029483034505386613,0.05119155272841454,0.0038667675378541047,0.12594308100926002,0.01133385465530069,0.03575213849544525,0.00287989682421269,-0.008625976834446191,0.003310660823463257
S,0.4440470695495605,0.033916463559191784,0.006786506902426481,0.00038476235113057587,0.13666569729517555,0.008245433793887105,0.004752059560269117,0.00010394332346347053,-0.0012443676590919495,0.00035637726378547464
